#,question_id,pubmed_id,answer,short_answer,mean_distance_a,ARS,hallucination_index,vector_distances,vector_scores,bm25_scores,rerank_sentiments,rerank_sentiments,question,QRS,vector_distances_question,vector_scores_question,bm25_scores_raw,bm25_scores_question,reranked_score,ranks,ground_truth,correctness
66,67,15065192,"Yes, 3‑D ultrasound‑validated large‑core needle biopsy reliably yields accurate histology, reducing core numbers, procedure time, and under‑estimation rates while maintaining high sensitivity (96.5%) and specificity (100%).",yes,174.968,47,31,"[115.31, 159.764, 166.651, 174.322, 191.323, 200.504, 216.901]","[0.665, 0.519, 0.497, 0.472, 0.416, 0.386, 0.332]",[1.151],"[['neutral'], ['neutral'], ['neutral'], ['contradiction'], ['neutral'], ['neutral'], ['neutral']]",[['neutral']],Three-dimensional ultrasound-validated large-core needle biopsy: is it a reliable method for the histological assessment of breast lesions?,76,"[169.653, 122.949, 150.303, 162.533, 163.805, 172.149, 81.031]","[0.714, 0.809, 0.753, 0.728, 0.726, 0.709, 0.895]","[0, 0, 0, 0, 0, 0, 23.75]","[0, 0, 0, 0, 0, 0, 1.188]","[0.976, 0.955, 0.941, 0.767, 0.31, 0.131, 0.993]","[2, 3, 4, 5, 6, 7, 1]",yes,correct
67,68,9767546,"Yes, the elevated pentosidine, MDA‑lysine and CML in uremic plasma show increased oxidative stress, reflecting a broad derangement in non‑enzymatic carbohydrate and lipid autoxidation.",yes,145.723,57,22,"[122.081, 126.018, 131.063, 143.12, 173.743, 178.312]","[0.643, 0.63, 0.614, 0.574, 0.473, 0.458]","[1.832, 1.712]","[['contradiction'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral']]","[['neutral'], ['neutral']]",Autoxidation products of both carbohydrates and lipids are increased in uremic plasma: is there oxidative stress in uremia?,77,"[170.677, 150.758, 184.191, 173.477, 53.676, 127.708]","[0.712, 0.752, 0.684, 0.706, 0.951, 0.799]","[0, 0, 0, 0, 33.55, 25.25]","[0, 0, 0, 0, 1.677, 1.263]","[0.982, 0.822, 0.821, 0.4, 0.865, 0.479]","[1, 3, 4, 6, 2, 5]",yes,correct
68,69,23321509,"Yes, achieving complete cytoreduction in quaternary surgery remains associated with improved overall survival, despite higher morbidity, indicating surgical effort still matters.",yes,175.164,47,27,"[124.362, 175.543, 225.587]","[0.636, 0.468, 0.303]","[1.651, 1.249, 1.11]","[['contradiction'], ['neutral'], ['neutral']]","[['neutral'], ['neutral'], ['neutral']]",Quaternary cytoreductive surgery in ovarian cancer: does surgical effort still matter?,80,"[172.168, 68.9, 145.153, 0]","[0.709, 0.92, 0.764, 0]","[0, 21.19, 15.34, 14.4]","[0, 1.059, 0.767, 0.72]","[0.986, 0.968, 0.926, 0.894]","[1, 2, 3, 3]",yes,correct
69,70,24809662,"No, concomitant anterior/apical repair does not provide additional improvement in the overactive bladder component beyond what is achieved with a midurethral sling alone.",no,183.757,44,37,"[92.183, 194.338, 207.859, 240.649]","[0.741, 0.406, 0.361, 0.254]","[2.036, 1.394, 0.869]","[['neutral'], ['entailment'], ['contradiction'], ['neutral']]","[['entailment'], ['contradiction'], ['neutral']]",Does concomitant anterior/apical repair during midurethral sling improve the overactive bladder component of mixed incontinence?,72,"[221.1, 192.772, 51.979, 193.338]","[0.609, 0.666, 0.954, 0.665]","[0, 29.78, 38.62, 20.02]","[0, 1.489, 1.931, 1.001]","[0.549, 0.978, 0.941, 0.42]","[3, 1, 2, 4]",no,correct
70,71,12805495,"No, decision‑analysis models show that anticoagulation after intracerebral hemorrhage—especially lobar—reduces quality‑adjusted life years and is not preferred over no anticoagulation.",no,135.892,60,27,"[87.723, 143.193, 176.76]","[0.756, 0.574, 0.464]",[1.986],"[['neutral'], ['contradiction'], ['neutral']]",[['neutral']],Can patients be anticoagulated after intracerebral hemorrhage?,68,"[182.59, 219.398, 153.986]","[0.687, 0.612, 0.746]","[0, 0, 13.42]","[0, 0, 0.671]","[0.991, 0.389, 0.949]","[1, 3, 2]",maybe,incorrect
71,72,19925761,"No, not always – in selected cases ureteroscopy can be performed without meatus dilation, achieving comparable success and morbidity to procedures with dilation.",no,210.001,35,49,"[93.696, 148.767, 206.136, 210.226, 210.707, 241.628, 245.203, 245.568, 247.111, 250.969]","[0.736, 0.556, 0.367, 0.354, 0.352, 0.25, 0.239, 0.237, 0.232, 0.22]","[2.327, 0.344]","[['neutral'], ['neutral'], ['contradiction'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral']]","[['neutral'], ['neutral']]",Diagnostic and therapeutic ureteroscopy: is dilatation of ureteral meatus always necessary?,66,"[248.112, 200.515, 237.449, 180.527, 228.974, 235.333, 235.605, 187.95, 81.407, 126.569]","[0.553, 0.651, 0.575, 0.691, 0.592, 0.579, 0.579, 0.676, 0.894, 0.802]","[0, 0, 0, 0, 0, 0, 0, 0, 27.86, 17.62]","[0, 0, 0, 0, 0, 0, 0, 0, 1.393, 0.881]","[0.99, 0.981, 0.955, 0.949, 0.698, 0.579, 0.403, 0.368, 0.99, 0.983]","[2, 4, 5, 6, 7, 8, 9, 10, 1, 3]",no,correct
72,73,20382292,"Yes, knee extensor strength is positively correlated with dynamic stability, and dynamic stability is positively correlated with functional ambulation in Parkinson’s disease; however, knee extensor strength itself does not directly predict functional ambulation.",yes,92.108,74,7,"[59.076, 73.138, 75.964, 77.237, 83.827, 101.478, 101.966, 108.97, 109.218, 130.205]","[0.85, 0.804, 0.795, 0.791, 0.769, 0.711, 0.709, 0.686, 0.685, 0.617]","[2.673, 2.47]","[['neutral'], ['contradiction'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral']]","[['neutral'], ['neutral']]","Knee extensor strength, dynamic stability, and functional ambulation: are they related in Parkinson's disease?",78,"[167.089, 130.699, 151.602, 118.337, 145.028, 133.573, 130.71, 163.179, 111.731, 118.793]","[0.719, 0.793, 0.751, 0.819, 0.764, 0.787, 0.793, 0.727, 0.832, 0.818]","[0, 0, 0, 0, 0, 0, 0, 0, 24.48, 25.02]","[0, 0, 0, 0, 0, 0, 0, 0, 1.224, 1.251]","[0.993, 0.986, 0.986, 0.962, 0.845, 0.578, 0.496, 0.324, 0.992, 0.99]","[1, 4, 5, 6, 7, 8, 9, 10, 2, 3]",yes,correct
73,74,22236315,"Yes, greater driving distance is linked to later‑stage breast cancer and delayed colorectal treatment in Medicaid patients, though the association is weaker for lung cancer.",yes,154.804,54,30,"[106.529, 131.505, 135.491, 172.35, 183.735, 199.214]","[0.694, 0.612, 0.599, 0.478, 0.441, 0.39]","[2.247, 1.157]","[['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['contradiction']]","[['contradiction'], ['neutral']]","Is distance to provider a barrier to care for medicaid patients with breast, colorectal, or lung cancer?",70,"[176.932, 188.249, 118.074, 172.585, 205.326, 186.497, 0]","[0.699, 0.676, 0.819, 0.708, 0.641, 0.679, 0]","[0, 0, 0, 0, 0, 13.4, 20.72]","[0, 0, 0, 0, 0, 0.67, 1.036]","[0.977, 0.958, 0.942, 0.884, 0.161, 0.987, 0.128]","[2, 3, 4, 5, 6, 1, 2]",no,incorrect
74,75,17051586,"No, the study found no protective effect of folic acid on congenital heart defects in infants with Down syndrome.",no,161.847,51,32,"[115.917, 121.095, 159.275, 182.775, 194.07, 197.95]","[0.663, 0.646, 0.521, 0.444, 0.407, 0.394]","[1.531, 1.175]","[['neutral'], ['contradiction'], ['neutral'], ['contradiction'], ['entailment'], ['contradiction']]","[['entailment'], ['contradiction']]",Can folic acid protect against congenital heart defects in Down syndrome?,70,"[148.767, 243.753, 243.784, 177.633, 71.19, 179.708]","[0.756, 0.562, 0.562, 0.697, 0.915, 0.693]","[0, 0, 0, 0, 24.72, 19.58]","[0, 0, 0, 0, 1.236, 0.979]","[0.839, 0.765, 0.442, 0.165, 0.956, 0.199]","[2, 3, 4, 6, 1, 5]",no,correct
75,76,25007420,"Yes, overall diagnosed disorder rates are similar, but francophones outside Winnipeg show lower suicide and substance‑use disorder rates, and they rate their mental health less positively.",yes,157.306,53,34,"[112.987, 141.026, 143.809, 149.984, 159.243, 159.602, 163.453, 182.985, 202.668]","[0.673, 0.581, 0.572, 0.552, 0.521, 0.52, 0.507, 0.443, 0.378]","[3.211, 2.755, 0.324]","[['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral']]","[['neutral'], ['neutral'], ['neutral']]",Are there mental health differences between francophone and non-francophone populations in manitoba?,66,"[165.4, 209.896, 159.294, 195.122, 219.368, 228.972, 194.153, 140.579, 231.437, 0, 0]","[0.722, 0.631, 0.735, 0.662, 0.612, 0.592, 0.664, 0.773, 0.587, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 20.44, 20.06, 20.97]","[0, 0, 0, 0, 0, 0, 0, 0, 1.022, 1.003, 1.049]","[0.992, 0.99, 0.983, 0.979, 0.966, 0.909, 0.473, 0.2, 0.924, 0.968, 0.112]","[1, 2, 3, 4, 5, 7, 8, 9, 6, 1, 3]",maybe,incorrect
76,77,26556589,"No, in physically active type 1 diabetics the Achilles tendon response to a 10 km run is similar to non‑diabetics; the effect in sedentary T1DM individuals remains unknown.",no,146.481,56,27,"[85.766, 99.495, 164.098, 177.908, 205.139]","[0.763, 0.717, 0.505, 0.46, 0.37]","[1.975, 1.421]","[['neutral'], ['contradiction'], ['neutral'], ['neutral'], ['neutral']]","[['neutral'], ['neutral']]",Does type 1 diabetes mellitus affect Achilles tendon response to a 10Â km run?,72,"[175.917, 216.915, 162.005, 72.102, 203.299]","[0.701, 0.617, 0.729, 0.913, 0.645]","[0, 0, 0, 25.94, 17.48]","[0, 0, 0, 1.297, 0.874]","[0.448, 0.289, 0.262, 0.981, 0.477]","[3, 4, 5, 1, 2]",no,correct
77,78,26194560,"Yes, oversized cup‑cage reconstruction provides initial stability in THA for osteoporotic acetabular fractures.",yes,157.989,53,22,[157.989],[0.525],[1.907],[['neutral']],[['neutral']],Does cup-cage reconstruction with oversized cups provide initial stability in THA for osteoporotic acetabular fractures?,80,[129.624],[0.796],[40.72],[2.036],[0.144],[1],yes,correct
78,79,21172844,"Yes, TDP‑43 type shows distinct atrophy patterns in FTLD, but these patterns are also modulated by GRN mutations and FTLD‑MND status.",yes,237.285,26,50,"[153.446, 261.353, 262.229, 272.112]","[0.54, 0.186, 0.183, 0.15]",[2.084],"[['neutral'], ['neutral'], ['contradiction'], ['neutral']]",[['neutral']],Does TDP-43 type confer a distinct pattern of atrophy in frontotemporal lobar degeneration?,74,"[155.38, 171.218, 157.615, 134.224]","[0.743, 0.711, 0.738, 0.786]","[0, 0, 0, 24.72]","[0, 0, 0, 1.236]","[0.971, 0.97, 0.477, 0.937]","[1, 2, 4, 3]",yes,correct
79,80,27581329,"No, existing equations are not fully applicable; they under‑ or over‑estimate BMR in Chinese adults, especially those overweight/obese. The new Singapore equation achieved ~80% accuracy and a better fit.",no,209.235,36,47,"[139.345, 164.319, 185.986, 193.673, 199.943, 205.163, 229.655, 240.198, 260.606, 273.457]","[0.586, 0.504, 0.433, 0.408, 0.387, 0.37, 0.29, 0.255, 0.188, 0.146]","[2.643, 1.45]","[['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['contradiction'], ['neutral'], ['neutral']]","[['neutral'], ['neutral']]",Estimation of basal metabolic rate in Chinese: are the current prediction equations applicable?,68,"[226.827, 202.948, 221.217, 162.51, 193.622, 216.347, 86.243, 190.428, 161.111, 193.558]","[0.597, 0.646, 0.608, 0.728, 0.665, 0.618, 0.884, 0.671, 0.731, 0.665]","[0, 0, 0, 0, 0, 0, 0, 0, 16.87, 17.18]","[0, 0, 0, 0, 0, 0, 0, 0, 0.843, 0.859]","[0.995, 0.991, 0.989, 0.985, 0.979, 0.96, 0.929, 0.891, 0.995, 0.993]","[2, 4, 5, 6, 7, 8, 9, 10, 1, 3]",yes,incorrect
80,81,11867487,"Maybe. The study found that 62 % of players believed headgear could prevent concussion, yet only 27 % wore it and coaches were less convinced (33 %). Evidence on actual prevention remains inconclusive.",maybe,100.699,71,12,"[63.39, 85.344, 90.471, 96.64, 102.583, 103.672, 106.703, 109.703, 114.884, 133.604]","[0.836, 0.764, 0.747, 0.727, 0.707, 0.704, 0.694, 0.684, 0.667, 0.605]","[2.314, 1.378]","[['contradiction'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['entailment'], ['neutral']]","[['entailment'], ['neutral']]",Does rugby headgear prevent concussion?,75,"[210.675, 146.326, 161.884, 206.613, 140.648, 129.135, 113.366, 176.383, 124.331, 112.654]","[0.63, 0.761, 0.73, 0.638, 0.773, 0.797, 0.829, 0.7, 0.806, 0.83]","[0, 0, 0, 0, 0, 0, 0, 0, 16.06, 16.5]","[0, 0, 0, 0, 0, 0, 0, 0, 0.803, 0.825]","[0.995, 0.992, 0.988, 0.988, 0.97, 0.964, 0.941, 0.177, 0.995, 0.939]","[2, 3, 4, 5, 6, 7, 8, 10, 1, 9]",maybe,correct
81,82,9854965,"Yes, dementia and aphasia are underrecognised in motor neuron disease, as multiple studies report cognitive deficits and language impairments that are often overlooked in routine ALS assessment.",yes,164.182,50,38,"[133.617, 162.876, 175.343, 184.892]","[0.605, 0.509, 0.468, 0.437]",[1.257],"[['neutral'], ['contradiction'], ['neutral'], ['neutral']]",[['neutral']],Dementia and aphasia in motor neuron disease: an underrecognised association?,65,"[147.952, 213.612, 209.137, 228.76]","[0.758, 0.624, 0.633, 0.593]","[0, 0, 0, 14.22]","[0, 0, 0, 0.711]","[0.924, 0.857, 0.103, 0.748]","[1, 2, 4, 3]",yes,correct
82,83,19131405,"Maybe, diffusion‑weighted echo‑planar MRI can hint at subtype differences, but ADC overlap—especially between Warthin tumors and malignancies—limits reliable, definitive prediction.",maybe,246.816,23,54,"[212.248, 224.606, 252.482, 261.081, 283.663]","[0.347, 0.306, 0.215, 0.186, 0.112]",[0.921],"[['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral']]",[['neutral']],Diffusion-weighted echo-planar MR imaging of primary parotid gland tumors: is a prediction of different histologic subtypes possible?,72,"[162.92, 187.15, 176.186, 165.346, 149.214, 0]","[0.727, 0.678, 0.7, 0.723, 0.756, 0]","[0, 0, 0, 0, 0, 33.56]","[0, 0, 0, 0, 0, 1.678]","[0.984, 0.939, 0.364, 0.333, 0.124, 0.871]","[1, 2, 3, 4, 5, 1]",yes,incorrect
83,84,18667100,"No, risk factors for suicidal behavior do not differ by affective disorder polarity.",no,102.782,71,4,"[71.591, 71.867, 75.6, 84.244, 90.496, 95.389, 102.466, 117.461, 127.707, 128.31, 132.329, 135.92]","[0.809, 0.808, 0.796, 0.768, 0.747, 0.731, 0.708, 0.658, 0.625, 0.623, 0.61, 0.598]",[1.395],"[['contradiction'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['contradiction'], ['neutral'], ['neutral'], ['neutral'], ['contradiction'], ['neutral']]",[['neutral']],Do risk factors for suicidal behavior differ by affective disorder polarity?,84,"[78.935, 93.236, 85.774, 131.529, 111.874, 147.247, 128.809, 115.796, 72.689, 103.735, 140.506, 78.155]","[0.899, 0.87, 0.885, 0.792, 0.832, 0.76, 0.797, 0.824, 0.912, 0.848, 0.773, 0.901]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18.13]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.907]","[0.997, 0.996, 0.995, 0.994, 0.993, 0.957, 0.879, 0.76, 0.611, 0.579, 0.563, 0.993]","[1, 2, 3, 4, 6, 7, 8, 9, 10, 11, 12, 5]",no,correct
84,85,10605400,"Yes, the study shows INR measurements performed in primary‑care settings using near‑patient testing are reliable and comparable to hospital laboratory results.",yes,220.209,32,67,"[163.597, 170.131, 193.517, 197.228, 287.742, 309.041]","[0.507, 0.485, 0.408, 0.396, 0.099, 0.029]","[2.881, 1.117]","[['contradiction'], ['contradiction'], ['neutral'], ['neutral'], ['neutral'], ['neutral']]","[['neutral'], ['neutral']]",Is the international normalised ratio (INR) reliable?,48,"[285.214, 356.131, 313.421, 301.775, 290.146, 169.659]","[0.477, 0.332, 0.42, 0.444, 0.467, 0.714]","[0, 0, 0, 0, 11.31, 14.15]","[0, 0, 0, 0, 0.566, 0.708]","[0.996, 0.996, 0.995, 0.118, 0.996, 0.985]","[1, 3, 4, 6, 2, 5]",maybe,incorrect
85,86,25986020,"Maybe, zero CLABSI can be achieved and sustained for extended periods with rigorous bundles and multidisciplinary vigilance, but long‑term maintenance remains challenging.",maybe,304.08,5,83,"[232.25, 239.475, 266.34, 304.998, 345.981, 367.396, 372.122]","[0.281, 0.257, 0.169, 0.042, -0.093, -0.163, -0.178]",[0.663],"[['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral']]",[['neutral']],Is zero central line-associated bloodstream infection rate sustainable?,55,"[171.7, 260.978, 279.41, 294.045, 274.49, 283.834, 189.02]","[0.71, 0.527, 0.489, 0.459, 0.499, 0.48, 0.674]","[0, 0, 0, 0, 0, 0, 19.04]","[0, 0, 0, 0, 0, 0, 0.952]","[0.998, 0.988, 0.976, 0.641, 0.476, 0.152, 0.992]","[1, 3, 4, 5, 6, 7, 2]",yes,incorrect
86,87,17598882,"Yes, evidence from familial studies indicates that breast cancer prognosis can be inherited.",yes,151.085,55,32,"[93.291, 125.141, 135.457, 160.457, 163.164, 168.331, 168.389, 194.452]","[0.738, 0.633, 0.599, 0.517, 0.508, 0.491, 0.491, 0.405]","[0.453, 0.431, 0.384]","[['entailment'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral']]","[['neutral'], ['neutral'], ['neutral']]",Is breast cancer prognosis inherited?,67,"[173.966, 222.121, 222.001, 214.062, 193.77, 136.574, 206.027, 161.901]","[0.705, 0.606, 0.607, 0.623, 0.664, 0.781, 0.639, 0.73]","[0, 0, 0, 0, 0, 10.59, 9.6, 10.64]","[0, 0, 0, 0, 0, 0.53, 0.48, 0.532]","[0.994, 0.991, 0.987, 0.932, 0.795, 0.995, 0.994, 0.992]","[2, 5, 6, 7, 8, 1, 3, 4]",yes,correct
87,88,25940336,"Yes, certain pre‑residency metrics—USMLE scores, OITE results, academic standing—correlate with objective performance measures, though predictive power varies across studies.",yes,261.344,19,100,[261.344],[0.186],[1.141],[['neutral']],[['neutral']],Does Residency Selection Criteria Predict Performance in Orthopaedic Surgery Residency?,2,"[454.659, 0]","[0.131, 0]","[0, 14.23]","[0, 0.711]","[0.879, 0.994]","[7, 1]",yes,correct
88,89,24014276,"Yes, optimistic older adults show lower mortality and longer survival, especially women, even after adjusting for health and function.",yes,156.853,53,28,"[115.145, 122.578, 128.89, 166.904, 170.907, 180.138, 183.427, 186.837]","[0.666, 0.642, 0.621, 0.496, 0.483, 0.452, 0.442, 0.43]","[1.857, 0.297]","[['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral']]","[['neutral'], ['neutral']]",Optimism and survival: does an optimistic outlook predict better survival at advanced ages?,73,"[153.092, 201.353, 162.18, 114.628, 203.56, 151.756, 182.621, 111.607, 0]","[0.748, 0.649, 0.729, 0.826, 0.644, 0.75, 0.687, 0.832, 0]","[0, 0, 0, 0, 0, 0, 0, 17.37, 13.67]","[0, 0, 0, 0, 0, 0, 0, 0.869, 0.684]","[0.981, 0.978, 0.602, 0.348, 0.217, 0.187, 0.127, 0.93, 0.144]","[1, 2, 4, 5, 6, 7, 8, 3, 2]",yes,correct
89,90,26113007,"No, arch form is independent of sagittal molar relationship and Bolton tooth‑size discrepancy.",no,150.304,55,21,"[78.279, 118.966, 127.061, 146.128, 146.247, 152.019, 167.722, 181.029, 181.653, 203.939]","[0.787, 0.653, 0.627, 0.564, 0.564, 0.545, 0.493, 0.45, 0.447, 0.374]","[1.225, 0.837, 0.712]","[['neutral'], ['contradiction'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral']]","[['neutral'], ['neutral'], ['neutral']]",Is arch form influenced by sagittal molar relationship or Bolton tooth-size discrepancy?,80,"[111.039, 156.201, 163.214, 112.226, 136.63, 148.488, 152.279, 104.734, 123.992, 53.866]","[0.834, 0.741, 0.727, 0.831, 0.781, 0.757, 0.749, 0.846, 0.807, 0.95]","[0, 0, 0, 0, 0, 0, 0, 28.78, 25.53, 30.85]","[0, 0, 0, 0, 0, 0, 0, 1.439, 1.277, 1.543]","[0.996, 0.993, 0.991, 0.976, 0.971, 0.91, 0.48, 0.988, 0.977, 0.921]","[1, 2, 3, 6, 7, 9, 10, 4, 5, 8]",no,correct
90,91,18222909,"Yes, pectins are involved in both cold acclimation and de‑acclimation of winter oil‑seed rape, influencing cell‑wall stiffness, leaf expansion, and freezing resistance.",yes,104.174,70,11,"[86.265, 91.099, 91.591, 94.488, 99.076, 101.914, 109.286, 116.435, 120.673, 130.914]","[0.761, 0.745, 0.743, 0.734, 0.719, 0.709, 0.685, 0.662, 0.648, 0.614]","[2.006, 1.6, 1.048]","[['neutral'], ['neutral'], ['contradiction'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral']]","[['neutral'], ['neutral'], ['neutral']]",Are pectins involved in cold acclimation and de-acclimation of winter oil-seed rape plants?,77,"[154.079, 124.403, 141.838, 134.233, 142.95, 168.824, 147.384, 133.287, 154.458, 124.243]","[0.746, 0.806, 0.771, 0.786, 0.768, 0.715, 0.759, 0.788, 0.745, 0.807]","[0, 0, 0, 0, 0, 0, 0, 32.57, 31.09, 31.01]","[0, 0, 0, 0, 0, 0, 0, 1.628, 1.554, 1.55]","[0.993, 0.992, 0.985, 0.98, 0.968, 0.937, 0.8, 0.995, 0.706, 0.385]","[2, 3, 4, 5, 6, 7, 8, 1, 9, 10]",yes,correct
91,92,19836806,"No, adjustment is not warranted. The study found only a small inverse relationship between BMI/percent body fat and PSA, insufficient to justify BMI‑based PSA thresholds.",no,211.97,35,49,"[158.658, 163.678, 199.091, 219.749, 221.503, 222.897, 252.485, 257.695]","[0.523, 0.507, 0.39, 0.322, 0.317, 0.312, 0.215, 0.198]",[1.669],"[['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['contradiction'], ['neutral'], ['neutral']]",[['neutral']],Should prostate specific antigen be adjusted for body mass index?,66,"[231.477, 217.211, 207.356, 239.557, 176.245, 222.172, 208.725, 81.407]","[0.587, 0.616, 0.637, 0.571, 0.7, 0.606, 0.634, 0.894]","[0, 0, 0, 0, 0, 0, 0, 16.2]","[0, 0, 0, 0, 0, 0, 0, 0.81]","[0.993, 0.946, 0.902, 0.728, 0.54, 0.229, 0.154, 0.967]","[1, 3, 4, 5, 6, 7, 8, 2]",no,correct
92,93,21801416,"Yes, intracerebroventricular metformin or AICAR injections lowered the amplitude of the ewe’s circadian melatonin rhythm, supporting a role for AMPK in modulating melatonin secretion.",yes,122.071,64,13,"[94.205, 102.049, 121.612, 170.418]","[0.735, 0.709, 0.645, 0.484]","[1.313, 1.013]","[['neutral'], ['neutral'], ['entailment'], ['neutral']]","[['neutral'], ['neutral']]",The effect of an intracerebroventricular injection of metformin or AICAR on the plasma concentrations of melatonin in the ewe: potential involvement of AMPK?,80,"[137.509, 108.013, 148.025, 111.519, 0]","[0.779, 0.84, 0.758, 0.833, 0]","[0, 0, 0, 26.95, 30.6]","[0, 0, 0, 1.347, 1.53]","[0.993, 0.953, 0.918, 0.666, 0.211]","[1, 2, 3, 4, 2]",yes,correct
93,94,25819796,"Yes, the isolated right hemisphere can support reading, as demonstrated by the 7 participants who showed varying but generally functional reading abilities after left hemispherectomy.",yes,123.289,64,11,"[104.833, 141.745]","[0.7, 0.579]",[],"[['neutral'], ['neutral']]",[],Literacy after cerebral hemispherectomy: Can the isolated right hemisphere read?,83,"[160.4, 60.29]","[0.733, 0.937]","[0, 0]","[0, 0]","[0.45, 0.169]","[1, 2]",yes,correct
94,95,22656647,"Yes, higher socioeconomic status is linked to higher acceptance, though proactive invitation letters can reduce the gap.",yes,252.175,22,55,"[174.508, 233.007, 236.385, 236.451, 236.749, 241.371, 252.4, 267.254, 321.246, 322.38]","[0.471, 0.279, 0.268, 0.267, 0.266, 0.251, 0.215, 0.166, -0.011, -0.015]","[0.347, 0.298]","[['neutral'], ['contradiction'], ['neutral'], ['neutral'], ['contradiction'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral']]","[['neutral'], ['neutral']]",Are acceptance rates of a national preventive home visit programme for older people socially imbalanced?,72,"[164.684, 159.906, 174.07, 182.221, 170.053, 191.497, 141.079, 161.268, 152.597, 153.181]","[0.724, 0.734, 0.705, 0.688, 0.713, 0.669, 0.772, 0.731, 0.749, 0.747]","[0, 0, 0, 0, 0, 0, 0, 0, 16.43, 17.94]","[0, 0, 0, 0, 0, 0, 0, 0, 0.821, 0.897]","[0.989, 0.985, 0.946, 0.927, 0.923, 0.876, 0.872, 0.644, 0.991, 0.983]","[2, 3, 5, 6, 7, 8, 9, 10, 1, 4]",yes,correct
95,96,22683044,"Yes, open access publishing increases the impact of scientific articles, as evidenced by higher citation rates and a measurable advantage appearing 30–35 months after publication.",yes,239.793,26,70,"[92.781, 147.961, 162.717, 179.829, 209.104, 278.574, 307.599, 334.763, 337.515, 347.088]","[0.739, 0.558, 0.51, 0.453, 0.357, 0.129, 0.034, -0.056, -0.065, -0.096]","[0.993, 0.981, 0.602]","[['neutral'], ['contradiction'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral']]","[['neutral'], ['neutral'], ['neutral']]",Does open access publishing increase the impact of scientific articles?,50,"[171.822, 363.956, 292.819, 367.715, 264.205, 337.644, 346.264, 166.36, 203.393, 215.461]","[0.709, 0.316, 0.462, 0.309, 0.52, 0.37, 0.353, 0.72, 0.645, 0.62]","[0, 0, 0, 0, 0, 0, 0, 11.93, 12.07, 11.71]","[0, 0, 0, 0, 0, 0, 0, 0.596, 0.603, 0.586]","[0.994, 0.986, 0.979, 0.953, 0.849, 0.779, 0.417, 0.994, 0.994, 0.991]","[2, 5, 6, 7, 8, 9, 10, 1, 3, 4]",yes,correct
96,97,22867778,"Yes, responsibility influences public valuation of health care interventions.",yes,98.378,72,2,[98.378],[0.721],[0.866],[['neutral']],[['neutral']],Does responsibility affect the public's valuation of health care interventions?,85,[104.571],[0.847],[17.04],[0.852],[0.985],[1],maybe,incorrect
97,98,21658267,"Yes, gains in clinical services strongly predict lower under‑5 mortality; outreach gains also correlate, though less strongly, and family/community improvements (e.g., breastfeeding, nutrition) predict survival gains, especially in Africa.",yes,171.576,48,38,"[118.728, 128.777, 134.117, 157.772, 173.764, 176.477, 206.477, 214.547, 233.523]","[0.654, 0.621, 0.604, 0.526, 0.473, 0.464, 0.366, 0.339, 0.277]","[1.801, 0.783]","[['neutral'], ['neutral'], ['neutral'], ['contradiction'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral']]","[['neutral'], ['neutral']]","Do improvements in outreach, clinical, and family and community-based services predict improvements in child survival?",67,"[220.468, 206.892, 174.249, 229.293, 186.358, 206.497, 197.138, 106.223, 171.072]","[0.61, 0.638, 0.704, 0.592, 0.68, 0.638, 0.658, 0.843, 0.711]","[0, 0, 0, 0, 0, 0, 0, 21.91, 16.73]","[0, 0, 0, 0, 0, 0, 0, 1.095, 0.836]","[0.992, 0.99, 0.989, 0.988, 0.983, 0.97, 0.955, 0.99, 0.972]","[1, 3, 4, 5, 6, 8, 9, 2, 7]",yes,correct
