mean_distance_a,relevance_score,hallucination_index,vector_distances,vector_scores,bm25_scores,vector_reranked_scores,bm25_reranked_scores
100.699,71.0,12.0,"[63.39, 85.344, 90.471, 96.64, 102.583, 103.672, 106.703, 109.703, 114.884, 133.604]","[0.836, 0.764, 0.747, 0.727, 0.707, 0.704, 0.694, 0.684, 0.667, 0.605]","[2.314, 1.378]","[['contradiction'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['entailment'], ['neutral']]","[['entailment'], ['neutral']]"
164.182,50.0,38.0,"[133.617, 162.876, 175.343, 184.892]","[0.605, 0.509, 0.468, 0.437]","[1.257]","[['neutral'], ['contradiction'], ['neutral'], ['neutral']]","[['neutral']]"
246.816,23.0,54.0,"[212.248, 224.606, 252.482, 261.081, 283.663]","[0.347, 0.306, 0.215, 0.186, 0.112]","[0.921]","[['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral']]","[['neutral']]"
102.782,71.0,4.0,"[71.591, 71.867, 75.6, 84.244, 90.496, 95.389, 102.466, 117.461, 127.707, 128.31, 132.329, 135.92]","[0.809, 0.808, 0.796, 0.768, 0.747, 0.731, 0.708, 0.658, 0.625, 0.623, 0.61, 0.598]","[1.395]","[['contradiction'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['contradiction'], ['neutral'], ['neutral'], ['neutral'], ['contradiction'], ['neutral']]","[['neutral']]"
220.209,32.0,67.0,"[163.597, 170.131, 193.517, 197.228, 287.742, 309.041]","[0.507, 0.485, 0.408, 0.396, 0.099, 0.029]","[2.881, 1.117]","[['contradiction'], ['contradiction'], ['neutral'], ['neutral'], ['neutral'], ['neutral']]","[['neutral'], ['neutral']]"
304.08,5.0,83.0,"[232.25, 239.475, 266.34, 304.998, 345.981, 367.396, 372.122]","[0.281, 0.257, 0.169, 0.042, -0.093, -0.163, -0.178]","[0.663]","[['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral']]","[['neutral']]"
151.085,55.0,32.0,"[93.291, 125.141, 135.457, 160.457, 163.164, 168.331, 168.389, 194.452]","[0.738, 0.633, 0.599, 0.517, 0.508, 0.491, 0.491, 0.405]","[0.453, 0.431, 0.384]","[['entailment'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral']]","[['neutral'], ['neutral'], ['neutral']]"
261.344,19.0,100,"[261.344]","[0.186]","[1.141]","[['neutral']]","[['neutral']]"
156.853,53.0,28.0,"[115.145, 122.578, 128.89, 166.904, 170.907, 180.138, 183.427, 186.837]","[0.666, 0.642, 0.621, 0.496, 0.483, 0.452, 0.442, 0.43]","[1.857, 0.297]","[['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral']]","[['neutral'], ['neutral']]"
150.304,55.0,21.0,"[78.279, 118.966, 127.061, 146.128, 146.247, 152.019, 167.722, 181.029, 181.653, 203.939]","[0.787, 0.653, 0.627, 0.564, 0.564, 0.545, 0.493, 0.45, 0.447, 0.374]","[1.225, 0.837, 0.712]","[['neutral'], ['contradiction'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral']]","[['neutral'], ['neutral'], ['neutral']]"
104.174,70.0,11.0,"[86.265, 91.099, 91.591, 94.488, 99.076, 101.914, 109.286, 116.435, 120.673, 130.914]","[0.761, 0.745, 0.743, 0.734, 0.719, 0.709, 0.685, 0.662, 0.648, 0.614]","[2.006, 1.6, 1.048]","[['neutral'], ['neutral'], ['contradiction'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral']]","[['neutral'], ['neutral'], ['neutral']]"
211.97,35.0,49.0,"[158.658, 163.678, 199.091, 219.749, 221.503, 222.897, 252.485, 257.695]","[0.523, 0.507, 0.39, 0.322, 0.317, 0.312, 0.215, 0.198]","[1.669]","[['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['contradiction'], ['neutral'], ['neutral']]","[['neutral']]"
122.071,64.0,13.0,"[94.205, 102.049, 121.612, 170.418]","[0.735, 0.709, 0.645, 0.484]","[1.313, 1.013]","[['neutral'], ['neutral'], ['entailment'], ['neutral']]","[['neutral'], ['neutral']]"
123.289,64.0,11.0,"[104.833, 141.745]","[0.7, 0.579]","[]","[['neutral'], ['neutral']]","[]"
252.175,22.0,55.0,"[174.508, 233.007, 236.385, 236.451, 236.749, 241.371, 252.4, 267.254, 321.246, 322.38]","[0.471, 0.279, 0.268, 0.267, 0.266, 0.251, 0.215, 0.166, -0.011, -0.015]","[0.347, 0.298]","[['neutral'], ['contradiction'], ['neutral'], ['neutral'], ['contradiction'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral']]","[['neutral'], ['neutral']]"
239.793,26.0,70.0,"[92.781, 147.961, 162.717, 179.829, 209.104, 278.574, 307.599, 334.763, 337.515, 347.088]","[0.739, 0.558, 0.51, 0.453, 0.357, 0.129, 0.034, -0.056, -0.065, -0.096]","[0.993, 0.981, 0.602]","[['neutral'], ['contradiction'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral']]","[['neutral'], ['neutral'], ['neutral']]"
98.378,72.0,2.0,"[98.378]","[0.721]","[0.866]","[['neutral']]","[['neutral']]"
171.576,48.0,38.0,"[118.728, 128.777, 134.117, 157.772, 173.764, 176.477, 206.477, 214.547, 233.523]","[0.654, 0.621, 0.604, 0.526, 0.473, 0.464, 0.366, 0.339, 0.277]","[1.801, 0.783]","[['neutral'], ['neutral'], ['neutral'], ['contradiction'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral']]","[['neutral'], ['neutral']]"
168.985,49.0,46.0,"[126.399, 156.113, 156.757, 163.425, 165.417, 169.63, 171.365, 171.808, 172.884, 173.163, 178.183, 191.046, 200.619]","[0.629, 0.531, 0.529, 0.507, 0.501, 0.487, 0.481, 0.48, 0.476, 0.475, 0.459, 0.417, 0.385]","[2.073, 0.98, 0.875]","[['contradiction'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['contradiction'], ['neutral'], ['neutral'], ['neutral'], ['neutral']]","[['neutral'], ['neutral'], ['neutral']]"
124.675,63.0,26.0,"[94.478, 154.873]","[0.734, 0.535]","[]","[['neutral'], ['neutral']]","[]"
309.16,3.0,67.0,"[188.315, 287.569, 301.821, 313.583, 327.502, 332.527, 352.39, 369.574]","[0.426, 0.099, 0.053, 0.014, -0.032, -0.048, -0.114, -0.17]","[1.574, 0.493]","[['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral']]","[['neutral'], ['neutral']]"
134.263,60.0,19.0,"[71.24, 112.049, 114.719, 126.876, 149.279, 159.547, 159.956, 180.439]","[0.81, 0.676, 0.667, 0.627, 0.554, 0.52, 0.519, 0.451]","[2.357, 0.949, 0.414]","[['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral']]","[['neutral'], ['neutral'], ['neutral']]"
157.332,53.0,30.0,"[130.223, 136.465, 142.615, 158.883, 171.867, 203.937]","[0.616, 0.596, 0.576, 0.522, 0.48, 0.374]","[2.029, 1.541]","[['neutral'], ['neutral'], ['neutral'], ['contradiction'], ['neutral'], ['neutral']]","[['neutral'], ['neutral']]"
111.041,68.0,10.0,"[83.015, 87.234, 105.274, 106.853, 172.83]","[0.772, 0.758, 0.698, 0.693, 0.476]","[1.337]","[['entailment'], ['neutral'], ['neutral'], ['neutral'], ['neutral']]","[['neutral']]"
177.093,46.0,33.0,"[128.233, 225.953]","[0.623, 0.302]","[2.507, 0.827]","[['neutral'], ['neutral']]","[['neutral'], ['neutral']]"
259.28,19.0,58.0,"[210.032, 251.37, 263.73, 263.925, 264.243, 266.606, 295.051]","[0.354, 0.218, 0.178, 0.177, 0.176, 0.168, 0.075]","[0.885, 0.509]","[['contradiction'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['contradiction']]","[['neutral'], ['contradiction']]"
138.502,59.0,28.0,"[73.476, 106.024, 117.146, 124.619, 127.034, 128.764, 137.412, 140.554, 150.199, 163.647, 174.963, 177.75, 178.934]","[0.803, 0.696, 0.659, 0.635, 0.627, 0.621, 0.593, 0.582, 0.551, 0.507, 0.469, 0.46, 0.456]","[0.75, 0.314, 0.286]","[['neutral'], ['neutral'], ['neutral'], ['contradiction'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['contradiction']]","[['neutral'], ['neutral'], ['contradiction']]"
153.097,54.0,38.0,"[133.096, 142.652, 147.842, 151.634, 152.591, 190.766]","[0.607, 0.576, 0.559, 0.546, 0.543, 0.418]","[3.201, 1.198, 1.083]","[['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral']]","[['neutral'], ['neutral'], ['entailment']]"
174.329,47.0,39.0,"[126.408, 143.783, 177.333, 181.699, 183.047, 198.182, 209.853]","[0.629, 0.572, 0.462, 0.447, 0.443, 0.393, 0.355]","[1.483, 1.063]","[['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral']]","[['neutral'], ['neutral']]"
154.805,54.0,28.0,"[122.578, 124.542, 131.653, 142.705, 148.594, 155.816, 156.427, 160.508, 163.043, 164.024, 165.447, 175.156, 177.51, 179.274]","[0.642, 0.635, 0.612, 0.575, 0.556, 0.532, 0.53, 0.517, 0.509, 0.505, 0.501, 0.469, 0.461, 0.455]","[1.3, 1.139, 0.821]","[['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['contradiction'], ['neutral']]","[['neutral'], ['contradiction'], ['neutral']]"
107.301,69.0,14.0,"[63.606, 86.355, 87.104, 87.704, 104.374, 105.567, 106.244, 111.568, 111.656, 113.475, 114.266, 114.622, 123.298, 124.593, 155.079]","[0.835, 0.761, 0.758, 0.756, 0.701, 0.697, 0.695, 0.678, 0.677, 0.671, 0.669, 0.668, 0.639, 0.635, 0.535]","[4.766, 2.372, 1.668]","[['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral']]","[['neutral'], ['neutral'], ['neutral']]"
168.611,49.0,32.0,"[130.955, 149.612, 156.61, 160.454, 160.969, 186.57, 194.441, 209.276]","[0.614, 0.553, 0.53, 0.517, 0.515, 0.431, 0.405, 0.357]","[1.634, 0.586, 0.582]","[['entailment'], ['entailment'], ['neutral'], ['neutral'], ['contradiction'], ['entailment'], ['entailment'], ['neutral']]","[['entailment'], ['entailment'], ['neutral']]"
281.255,12.0,100,"[150.558, 248.452, 322.464, 340.006, 344.793]","[0.55, 0.228, -0.015, -0.073, -0.089]","[1.883, 1.826, 1.274]","[['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral']]","[['neutral'], ['neutral'], ['neutral']]"
266.485,17.0,61.0,"[221.619, 236.726, 261.508, 297.618, 314.952]","[0.316, 0.266, 0.185, 0.066, 0.009]","[1.688, 0.583]","[['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral']]","[['neutral'], ['neutral']]"
304.726,4.0,77.0,"[262.296, 285.89, 300.483, 300.917, 304.448, 307.56, 316.125, 323.579, 341.24]","[0.182, 0.105, 0.057, 0.056, 0.044, 0.034, 0.006, -0.019, -0.077]","[1.083, 0.637, 0.0]","[['contradiction'], ['neutral'], ['contradiction'], ['neutral'], ['contradiction'], ['contradiction'], ['neutral'], ['neutral'], ['contradiction']]","[['neutral'], ['neutral'], ['contradiction']]"
135.31,60.0,20.0,"[84.946, 145.965, 151.963, 158.368]","[0.765, 0.565, 0.545, 0.524]","[1.107]","[['neutral'], ['neutral'], ['neutral'], ['neutral']]","[['neutral']]"
144.226,57.0,24.0,"[107.357, 136.37, 140.512, 152.046, 155.353, 158.23, 159.715]","[0.692, 0.596, 0.583, 0.545, 0.534, 0.524, 0.52]","[0.921]","[['neutral'], ['neutral'], ['neutral'], ['contradiction'], ['neutral'], ['neutral'], ['neutral']]","[['neutral']]"
289.534,9.0,93.0,"[174.101, 227.796, 230.838, 347.023, 359.329, 398.116]","[0.472, 0.296, 0.286, -0.096, -0.136, -0.264]","[1.303, 0.787]","[['neutral'], ['neutral'], ['neutral'], ['contradiction'], ['entailment'], ['contradiction']]","[['neutral'], ['neutral']]"
151.774,55.0,23.0,"[90.301, 98.533, 114.123, 121.243, 148.095, 173.697, 179.709, 213.165, 227.098]","[0.748, 0.721, 0.669, 0.646, 0.558, 0.474, 0.454, 0.344, 0.298]","[1.86]","[['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral']]","[['neutral']]"
281.164,12.0,87.0,"[255.245, 256.529, 261.283, 262.89, 280.387, 281.264, 282.501, 302.3, 314.163, 315.08]","[0.206, 0.201, 0.186, 0.181, 0.123, 0.12, 0.116, 0.051, 0.012, 0.009]","[0.586, 0.227]","[['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral']]","[['neutral'], ['neutral']]"
138.922,59.0,27.0,"[75.688, 76.853, 88.12, 109.047, 125.251, 129.625, 148.88, 148.902, 161.355, 166.092, 170.746, 188.913, 216.518]","[0.796, 0.792, 0.755, 0.686, 0.633, 0.618, 0.555, 0.555, 0.514, 0.499, 0.483, 0.424, 0.333]","[4.866, 1.06, 0.592]","[['contradiction'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['entailment'], ['neutral']]","[['neutral'], ['entailment'], ['neutral']]"
236.294,27.0,47.0,"[170.312, 217.294, 234.059, 239.029, 241.392, 264.489, 287.48]","[0.485, 0.33, 0.275, 0.259, 0.251, 0.175, 0.1]","[1.27, 0.902, 0.559]","[['neutral'], ['neutral'], ['contradiction'], ['neutral'], ['contradiction'], ['neutral'], ['contradiction']]","[['contradiction'], ['neutral'], ['contradiction']]"
205.495,37.0,37.0,"[151.467, 191.447, 193.247, 222.156, 223.533, 227.49, 229.124]","[0.547, 0.415, 0.409, 0.314, 0.31, 0.297, 0.291]","[1.356, 0.913]","[['neutral'], ['neutral'], ['contradiction'], ['neutral'], ['neutral'], ['neutral'], ['neutral']]","[['neutral'], ['neutral']]"
210.17,35.0,45.0,"[145.868, 153.677, 205.75, 211.008, 217.544, 327.173]","[0.565, 0.539, 0.368, 0.351, 0.33, -0.031]","[1.269, 0.533]","[['neutral'], ['neutral'], ['contradiction'], ['neutral'], ['neutral'], ['neutral']]","[['neutral'], ['neutral']]"
143.445,57.0,81.0,"[143.445]","[0.573]","[1.315, 0.997]","[['entailment']]","[['entailment'], ['entailment']]"
255.813,20.0,89.0,"[212.942, 216.881, 231.912, 251.846, 287.003, 288.336, 301.774]","[0.345, 0.332, 0.282, 0.217, 0.101, 0.097, 0.053]","[1.728, 0.981, 0.618]","[['contradiction'], ['neutral'], ['neutral'], ['contradiction'], ['neutral'], ['neutral'], ['contradiction']]","[['neutral'], ['neutral'], ['contradiction']]"
248.437,23.0,57.0,"[138.002, 171.377, 239.428, 248.708, 252.046, 259.785, 286.471, 288.823, 295.745, 303.983]","[0.591, 0.481, 0.258, 0.227, 0.216, 0.191, 0.103, 0.095, 0.073, 0.045]","[0.753, 0.631, 0.255]","[['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['contradiction']]","[['neutral'], ['contradiction'], ['neutral']]"
159.692,52.0,35.0,"[105.035, 132.478, 145.186, 151.328, 161.196, 166.257, 166.598, 170.359, 182.547, 186.848, 188.775]","[0.699, 0.609, 0.567, 0.547, 0.515, 0.498, 0.497, 0.485, 0.445, 0.43, 0.424]","[2.65, 2.31, 1.067]","[['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['contradiction'], ['contradiction'], ['entailment'], ['neutral'], ['neutral']]","[['entailment'], ['neutral'], ['neutral']]"
120.62,65.0,16.0,"[95.024, 100.345, 109.985, 114.759, 140.04, 163.565]","[0.732, 0.715, 0.683, 0.667, 0.584, 0.507]","[1.402, 0.679, 0.393]","[['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral']]","[['neutral'], ['neutral'], ['neutral']]"
124.927,63.0,36.0,"[111.497, 138.357]","[0.678, 0.59]","[]","[['neutral'], ['entailment']]","[]"
219.921,32.0,52.0,"[129.822, 165.48, 166.82, 191.276, 206.402, 209.973, 252.114, 253.395, 269.45, 274.75, 299.646]","[0.618, 0.501, 0.496, 0.416, 0.366, 0.354, 0.216, 0.212, 0.159, 0.142, 0.06]","[1.178, 0.439, 0.096]","[['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral']]","[['neutral'], ['neutral'], ['neutral']]"
131.775,61.0,23.0,"[97.369, 97.611, 114.143, 114.453, 114.993, 126.06, 137.056, 141.429, 144.551, 157.188, 164.352, 172.091]","[0.724, 0.724, 0.669, 0.668, 0.666, 0.63, 0.594, 0.58, 0.569, 0.528, 0.504, 0.479]","[4.469, 1.618, 1.322]","[['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['entailment'], ['neutral'], ['entailment']]","[['entailment'], ['neutral'], ['entailment']]"
185.361,44.0,42.0,"[131.304, 139.28, 149.351, 155.474, 205.461, 213.227, 229.82, 258.974]","[0.613, 0.587, 0.554, 0.533, 0.369, 0.344, 0.289, 0.193]","[2.5, 0.765]","[['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral']]","[['neutral'], ['neutral']]"
172.397,48.0,34.0,"[120.775, 136.025, 140.149, 167.939, 172.103, 206.407, 206.515, 229.263]","[0.647, 0.597, 0.584, 0.493, 0.479, 0.366, 0.366, 0.291]","[7.235, 1.341, 0.563]","[['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral']]","[['neutral'], ['neutral'], ['neutral']]"
158.676,52.0,33.0,"[121.38, 145.522, 157.635, 180.871, 187.97]","[0.646, 0.566, 0.526, 0.45, 0.427]","[2.205, 1.541, 0.774]","[['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral']]","[['neutral'], ['neutral'], ['neutral']]"
208.947,36.0,57.0,"[179.032, 188.413, 197.538, 208.754, 239.337, 240.609]","[0.456, 0.425, 0.395, 0.358, 0.258, 0.254]","[1.03, 0.632]","[['neutral'], ['contradiction'], ['neutral'], ['neutral'], ['neutral'], ['neutral']]","[['neutral'], ['contradiction']]"
187.842,43.0,41.0,"[137.456, 144.226, 146.531, 197.234, 199.539, 207.188, 219.787, 250.773]","[0.593, 0.57, 0.563, 0.396, 0.389, 0.364, 0.322, 0.22]","[0.915]","[['contradiction'], ['neutral'], ['neutral'], ['contradiction'], ['neutral'], ['contradiction'], ['neutral'], ['neutral']]","[['neutral']]"
165.722,50.0,33.0,"[119.594, 123.302, 160.5, 192.012, 198.258, 200.669]","[0.651, 0.639, 0.517, 0.413, 0.393, 0.385]","[1.978, 1.117]","[['contradiction'], ['neutral'], ['contradiction'], ['contradiction'], ['neutral'], ['neutral']]","[['neutral'], ['neutral']]"
116.832,66.0,16.0,"[83.124, 87.772, 91.012, 94.49, 104.285, 109.047, 121.927, 133.376, 134.83, 161.628, 163.664]","[0.771, 0.756, 0.745, 0.734, 0.702, 0.686, 0.644, 0.606, 0.601, 0.513, 0.507]","[1.285, 0.841, 0.841]","[['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['contradiction'], ['neutral'], ['neutral'], ['neutral']]","[['neutral'], ['neutral'], ['neutral']]"
105.452,70.0,2.0,"[62.695, 68.454, 72.139, 81.559, 82.447, 87.517, 118.403, 125.758, 128.214, 137.194, 140.809, 160.23]","[0.838, 0.819, 0.807, 0.776, 0.773, 0.757, 0.655, 0.631, 0.623, 0.594, 0.582, 0.518]","[1.109, 1.025, 0.979]","[['neutral'], ['contradiction'], ['neutral'], ['neutral'], ['neutral'], ['contradiction'], ['neutral'], ['entailment'], ['neutral'], ['neutral'], ['neutral'], ['neutral']]","[['neutral'], ['neutral'], ['neutral']]"
333.513,0,100,"[186.865, 206.948, 308.258, 308.899, 315.469, 355.538, 378.806, 460.786, 480.049]","[0.43, 0.364, 0.031, 0.029, 0.008, -0.124, -0.2, -0.47, -0.533]","[0.738, 0.67, 0.552]","[['contradiction'], ['neutral'], ['contradiction'], ['neutral'], ['neutral'], ['entailment'], ['neutral'], ['entailment'], ['neutral']]","[['contradiction'], ['neutral'], ['neutral']]"
115.481,66.0,12.0,"[114.33, 116.633]","[0.669, 0.661]","[1.026]","[['neutral'], ['neutral']]","[['neutral']]"
132.341,61.0,14.0,"[83.136, 103.697, 121.18, 127.371, 128.399, 174.851, 187.754]","[0.771, 0.704, 0.646, 0.626, 0.622, 0.47, 0.427]","[0.91, 0.681]","[['neutral'], ['neutral'], ['neutral'], ['contradiction'], ['neutral'], ['neutral'], ['neutral']]","[['neutral'], ['neutral']]"
127.325,63.0,17.0,"[77.157, 82.978, 97.328, 109.919, 114.021, 125.943, 129.038, 132.061, 143.566, 147.618, 158.53, 164.046, 173.023]","[0.791, 0.772, 0.725, 0.683, 0.67, 0.631, 0.62, 0.61, 0.573, 0.559, 0.523, 0.505, 0.476]","[2.325, 1.288, 1.226]","[['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['contradiction'], ['neutral']]","[['contradiction'], ['neutral'], ['neutral']]"
190.662,42.0,46.0,"[122.945, 164.45, 175.095, 194.115, 195.679, 198.801, 213.663, 215.607, 235.607]","[0.64, 0.504, 0.469, 0.407, 0.401, 0.391, 0.342, 0.336, 0.27]","[1.605, 1.389]","[['neutral'], ['neutral'], ['entailment'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral']]","[['neutral'], ['neutral']]"
113.462,67.0,12.0,"[85.264, 86.981, 92.527, 108.882, 112.22, 121.372, 128.698, 141.443, 143.772]","[0.764, 0.759, 0.74, 0.687, 0.676, 0.646, 0.621, 0.58, 0.572]","[0.926, 0.51]","[['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['contradiction'], ['contradiction']]","[['contradiction'], ['neutral']]"
166.548,50.0,32.0,"[115.831, 127.626, 146.201, 147.705, 167.367, 174.901, 191.073, 195.461, 232.763]","[0.664, 0.625, 0.564, 0.559, 0.494, 0.47, 0.416, 0.402, 0.28]","[0.857, 0.669, 0.664]","[['neutral'], ['neutral'], ['contradiction'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['contradiction'], ['neutral']]","[['contradiction'], ['neutral'], ['entailment']]"
160.239,52.0,24.0,"[123.849, 124.51, 142.5, 154.717, 165.819, 170.21, 180.576, 188.476, 191.497]","[0.637, 0.635, 0.576, 0.536, 0.499, 0.485, 0.451, 0.425, 0.415]","[1.476, 0.89]","[['neutral'], ['neutral'], ['neutral'], ['neutral'], ['contradiction'], ['neutral'], ['neutral'], ['neutral'], ['neutral']]","[['neutral'], ['neutral']]"
254.334,21.0,54.0,"[207.557, 216.399, 230.229, 235.231, 264.035, 266.552, 277.766, 336.899]","[0.362, 0.333, 0.288, 0.271, 0.177, 0.168, 0.132, -0.063]","[1.938]","[['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['contradiction'], ['neutral'], ['neutral']]","[['neutral']]"
128.22,62.0,15.0,"[90.572, 96.829, 109.077, 111.576, 112.923, 115.234, 129.008, 148.918, 157.441, 168.772, 170.068]","[0.747, 0.726, 0.686, 0.678, 0.673, 0.666, 0.62, 0.555, 0.527, 0.49, 0.486]","[3.454, 0.443, 0.429]","[['neutral'], ['neutral'], ['neutral'], ['neutral'], ['contradiction'], ['neutral'], ['neutral'], ['contradiction'], ['neutral'], ['neutral'], ['neutral']]","[['neutral'], ['neutral'], ['neutral']]"
147.257,56.0,32.0,"[74.185, 91.392, 133.822, 137.971, 166.967, 169.193, 174.84, 229.688]","[0.801, 0.744, 0.605, 0.591, 0.496, 0.488, 0.47, 0.29]","[1.776, 0.293]","[['neutral'], ['entailment'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral']]","[['neutral'], ['neutral']]"
140.607,58.0,33.0,"[99.987, 106.529, 110.079, 119.356, 134.124, 140.007, 143.856, 146.452, 154.406, 161.994, 229.889]","[0.716, 0.694, 0.683, 0.652, 0.604, 0.584, 0.572, 0.563, 0.537, 0.512, 0.289]","[2.881, 2.746, 1.416]","[['neutral'], ['neutral'], ['entailment'], ['neutral'], ['entailment'], ['contradiction'], ['neutral'], ['contradiction'], ['neutral'], ['neutral'], ['neutral']]","[['neutral'], ['neutral'], ['neutral']]"
125.385,63.0,15.0,"[105.905, 127.273, 142.978]","[0.696, 0.626, 0.575]","[1.559]","[['neutral'], ['neutral'], ['neutral']]","[['neutral']]"
149.315,55.0,27.0,"[96.239, 96.257, 107.89, 121.226, 138.628, 172.66, 175.0, 180.662, 195.994, 208.599]","[0.728, 0.728, 0.69, 0.646, 0.589, 0.477, 0.469, 0.451, 0.4, 0.359]","[5.373, 3.357, 2.256]","[['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral']]","[['neutral'], ['neutral'], ['neutral']]"
188.184,43.0,34.0,"[136.696, 179.689, 189.11, 199.854, 207.193, 216.561]","[0.595, 0.454, 0.423, 0.388, 0.364, 0.333]","[0.77, 0.738]","[['neutral'], ['neutral'], ['contradiction'], ['neutral'], ['neutral'], ['contradiction']]","[['neutral'], ['contradiction']]"
153.272,54.0,29.0,"[106.541, 122.551, 131.946, 132.815, 152.243, 155.676, 158.519, 181.186, 192.239, 199.0]","[0.694, 0.642, 0.611, 0.608, 0.544, 0.533, 0.523, 0.449, 0.413, 0.39]","[1.788, 1.123, 0.642]","[['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral']]","[['neutral'], ['neutral'], ['neutral']]"
140.39,58.0,32.0,"[77.874, 110.284, 118.064, 156.794, 162.182, 162.654, 165.815, 169.457]","[0.788, 0.682, 0.656, 0.529, 0.511, 0.51, 0.499, 0.488]","[4.145, 1.723, 0.319]","[['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral']]","[['neutral'], ['neutral'], ['neutral']]"
132.494,61.0,8.0,"[105.786, 127.032, 130.329, 130.724, 144.734, 156.361]","[0.697, 0.627, 0.616, 0.615, 0.569, 0.531]","[3.415, 3.401, 2.883]","[['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral']]","[['neutral'], ['neutral'], ['neutral']]"
