question_id,pubmed_id,dataset,answer,short answer,vector_distances_a,vector_scores_a,bm25_scores_a,rerank_sentiments_a,question,vector_scores_question,bm25_scores_raw,bm25_scores_question,reranked_score,ranks,ground_truth,correctness,vector_distances_a_min,vector_distances_a_max,bm25_scores_a_min,bm25_scores_a_max,vector_distances_question_min,vector_distances_question_max,bm25_scores_raw_min,bm25_scores_raw_max,reranked_score_min,reranked_score_max
221,26163474,PubmedQA,"Yes, sublingual varices are associated with hypertension (OR ≈ 2.25, sensitivity ≈ 0.48, specificity ≈ 0.82).",yes,"[73.328, 88.519, 92.041, 92.299, 93.485, 98.201, 112.283, 113.093, 153.713, 153.848]","[0.803, 0.753, 0.742, 0.741, 0.737, 0.722, 0.675, 0.673, 0.539, 0.539]","[3.162, 2.449, 1.265, 0.868, 0.74, 0.32, 0.099, 0.098, 0.093, 0.082]","[['neutral'], ['neutral'], ['neutral'], ['neutral'], ['entailment'], ['neutral'], ['neutral'], ['contradiction'], ['neutral'], ['neutral']]",Is there a connection between sublingual varices and hypertension?,"[107.252, 107.649, 122.636, 106.051, 119.606, 172.5, 159.695, 80.516, 102.387, 59.118]","[0.841, 0.84, 0.81, 0.844, 0.816, 0.708, 0.734, 0.896, 0.851, 0.94]","[0, 0, 0, 0, 0, 0, 0, 15.12, 16.3, 14.44]","[0, 0, 0, 0, 0, 0, 0, 0.756, 0.815, 0.722]","[0.996, 0.995, 0.995, 0.993, 0.984, 0.98, 0.971, 0.995, 0.99, 0.989]",yes,correct,73.328,153.848,0.082,3.162,59.118,172.5,0,16.3,0.971,0.996
234,23149821,PubmedQA,"Maybe, screening HIV‑infected patients with gated myocardial perfusion SPECT could be considered for those at high cardiovascular risk, as the study found a low but notable prevalence of silent myocardial ischemia.",maybe,"[62.786, 116.407, 128.907, 157.093, 177.036, 203.946]","[0.838, 0.662, 0.621, 0.528, 0.463, 0.374]","[4.147, 3.384, 1.392, 1.248, 1.075, 0.437]","[['entailment'], ['neutral'], ['contradiction'], ['contradiction'], ['entailment'], ['neutral']]",Should HIV-infected patients be screened for silent myocardial ischaemia using gated myocardial perfusion SPECT?,"[169.892, 127.138, 191.216, 175.485, 80.84, 46.729]","[0.713, 0.801, 0.67, 0.702, 0.895, 0.965]","[0, 0, 0, 0, 27.33, 31.71]","[0, 0, 0, 0, 1.366, 1.586]","[0.835, 0.469, 0.265, 0.149, 0.886, 0.522]",maybe,correct,62.786,203.946,0.437,4.147,46.729,191.216,0,31.71,0.149,0.886
236,26209118,PubmedQA,"No, unenhanced fat‑suppressed T1‑weighted MRI does not reliably distinguish bone infarcts from acute osteomyelitis in children with sickle cell disease; high marrow signal appears in both, and other unenhanced MRI parameters are not discriminative.",no,"[64.192, 88.964, 94.003, 106.811, 121.72, 126.41, 129.107, 142.179]","[0.833, 0.752, 0.735, 0.693, 0.644, 0.629, 0.62, 0.577]","[3.368, 3.349, 3.215, 3.012, 2.643, 2.12, 1.584, 0.852]","[['neutral'], ['entailment'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral']]",Utility of unenhanced fat-suppressed T1-weighted MRI in children with sickle cell disease -- can it differentiate bone infarcts from acute osteomyelitis?,"[129.371, 146.677, 140.844, 78.282, 78.596, 129.329, 39.482, 158.085]","[0.796, 0.761, 0.773, 0.901, 0.9, 0.796, 0.98, 0.737]","[0, 0, 0, 0, 0, 0, 43.54, 34.29]","[0, 0, 0, 0, 0, 0, 2.177, 1.714]","[0.986, 0.978, 0.768, 0.736, 0.696, 0.146, 0.912, 0.552]",no,correct,64.192,142.179,0.852,3.368,39.482,158.085,0,43.54,0.146,0.986
244,21368683,PubmedQA,"Yes, patients with serious mental illness are more likely to be admitted to nursing homes with higher deficiency citations for overall and health‑related care.",yes,"[59.806, 76.903, 118.802, 121.345, 125.775, 128.426, 135.452, 143.207, 153.831, 155.096, 159.734, 162.96]","[0.848, 0.792, 0.654, 0.646, 0.631, 0.622, 0.599, 0.574, 0.539, 0.535, 0.519, 0.509]","[3.649, 2.776, 2.547, 2.39, 2.291, 2.118, 1.744, 1.676, 1.543, 1.156, 1.111, 0.654]","[['neutral'], ['neutral'], ['neutral'], ['entailment'], ['neutral'], ['contradiction'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral']]",Are patients with serious mental illness more likely to be admitted to nursing homes with more deficiencies in care?,"[142.985, 165.274, 130.811, 132.911, 121.323, 167.276, 146.756, 166.154, 159.441, 108.71, 134.168, 50.828]","[0.768, 0.723, 0.793, 0.789, 0.813, 0.719, 0.761, 0.721, 0.735, 0.838, 0.786, 0.957]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 23.42, 20.42, 23.13]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 1.171, 1.021, 1.157]","[0.996, 0.995, 0.994, 0.992, 0.991, 0.989, 0.983, 0.978, 0.126, 0.993, 0.97, 0.893]",yes,correct,59.806,162.96,0.654,3.649,50.828,167.276,0,23.42,0.126,0.996
246,24669960,PubmedQA,"No, sex does not influence rt‑PA effectiveness.",no,"[243.096, 261.435, 261.541, 268.694, 277.133, 297.786, 305.181, 325.078, 327.522, 343.895, 344.432, 346.969, 347.698, 366.702, 376.292]","[0.246, 0.185, 0.185, 0.161, 0.134, 0.066, 0.042, -0.024, -0.032, -0.086, -0.087, -0.096, -0.098, -0.161, -0.192]","[2.119, 1.923, 0.935, 0.847, 0.838, 0.817, 0.472, 0.399, 0.348, 0.312, 0.294, 0.232, 0.102, 0.099, 0.0]","[['neutral'], ['neutral'], ['contradiction'], ['contradiction'], ['neutral'], ['neutral'], ['neutral'], ['contradiction'], ['neutral'], ['neutral'], ['neutral'], ['contradiction'], ['contradiction'], ['neutral'], ['neutral']]",Does the sex of acute stroke patients influence the effectiveness of rt-PA?,"[183.535, 120.488, 173.114, 191.553, 128.89, 165.51, 189.836, 127.208, 181.131, 156.106, 177.523, 185.17, 150.408, 52.632, 138.772]","[0.685, 0.814, 0.707, 0.669, 0.797, 0.722, 0.672, 0.8, 0.69, 0.741, 0.698, 0.682, 0.753, 0.953, 0.777]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12.56, 16.01, 12.45]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.628, 0.801, 0.623]","[0.997, 0.996, 0.995, 0.994, 0.993, 0.993, 0.991, 0.99, 0.987, 0.948, 0.936, 0.216, 0.993, 0.99, 0.985]",no,correct,243.096,376.292,0,2.119,52.632,191.553,0,16.01,0.216,0.997
257,25503376,PubmedQA,"Yes, airway surgery reduces serum lipid levels in OSA patients, especially those with pre‑operative dyslipidemia, improving TG, LDL, HDL and markedly lowering LP(a).",yes,"[126.831, 127.144, 129.25, 129.349, 141.388, 174.175, 174.642, 178.977, 207.655, 228.703, 236.243]","[0.628, 0.627, 0.62, 0.619, 0.58, 0.472, 0.47, 0.456, 0.362, 0.293, 0.268]","[5.381, 3.991, 2.88, 1.477, 1.297, 0.782, 0.495, 0.346, 0.309, 0.233, 0.224]","[['contradiction'], ['contradiction'], ['neutral'], ['neutral'], ['contradiction'], ['neutral'], ['neutral'], ['neutral'], ['contradiction'], ['neutral'], ['contradiction']]",Does airway surgery lower serum lipid levels in obstructive sleep apnea patients?,"[180.318, 142.709, 133.368, 117.962, 182.677, 165.192, 160.955, 170.787, 62.028, 161.32, 50.73]","[0.692, 0.769, 0.788, 0.819, 0.687, 0.723, 0.732, 0.711, 0.934, 0.731, 0.957]","[0, 0, 0, 0, 0, 0, 0, 0, 20.71, 20.84, 21.29]","[0, 0, 0, 0, 0, 0, 0, 0, 1.035, 1.042, 1.064]","[0.992, 0.991, 0.99, 0.987, 0.987, 0.95, 0.872, 0.745, 0.911, 0.783, 0.298]",yes,correct,126.831,236.243,0.224,5.381,50.73,182.677,0,21.29,0.298,0.992
266,16498158,PubmedQA,"Yes, atropine is recommended as an adjunct to intramuscular ketamine sedation in children because it significantly reduces hypersalivation and may lower post‑procedural vomiting, with no serious adverse events reported.",yes,"[51.343, 109.683, 109.925, 120.186, 128.577, 129.488, 161.284, 185.882, 203.303]","[0.876, 0.684, 0.683, 0.649, 0.622, 0.619, 0.514, 0.434, 0.376]","[5.855, 4.855, 2.513, 1.804, 1.687, 1.088, 1.069, 0.867, 0.098]","[['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral']]",Is atropine needed with ketamine sedation?,"[165.715, 200.593, 212.444, 174.05, 183.05, 208.525, 177.662, 123.456, 0]","[0.722, 0.65, 0.626, 0.705, 0.686, 0.634, 0.697, 0.808, 0]","[0, 0, 0, 0, 0, 0, 12.39, 12.06, 12.96]","[0, 0, 0, 0, 0, 0, 0.62, 0.603, 0.648]","[0.982, 0.932, 0.912, 0.767, 0.491, 0.126, 0.956, 0.325, 0.263]",yes,correct,51.343,203.303,0.098,5.855,0,212.444,0,12.96,0.126,0.982
273,23359100,PubmedQA,"Yes, etoricoxib 90 mg once daily for seven days effectively prevented heterotopic ossification after cemented primary total hip arthroplasty.",yes,"[57.319, 58.947, 64.263, 92.905, 105.852, 107.191, 116.697, 144.531]","[0.856, 0.851, 0.833, 0.739, 0.697, 0.692, 0.661, 0.569]","[2.993, 2.45, 2.247, 2.128, 1.907, 1.535, 1.043, 0.96]","[['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral']]",Is etoricoxib effective in preventing heterotopic ossification after primary total hip arthroplasty?,"[108.075, 67.878, 106.628, 139.17, 118.788, 146.117, 65.46, 47.908]","[0.84, 0.922, 0.843, 0.776, 0.818, 0.762, 0.927, 0.963]","[0, 0, 0, 0, 0, 0, 23.93, 26.05]","[0, 0, 0, 0, 0, 0, 1.196, 1.303]","[0.99, 0.986, 0.983, 0.818, 0.645, 0.34, 0.996, 0.145]",yes,correct,57.319,144.531,0.96,2.993,47.908,146.117,0,26.05,0.145,0.996
278,21592383,PubmedQA,"No, the CCB falls short of fully addressing caregiver burden; eligibility limits, low compensation, and short duration undermine its effectiveness as a public health response.",no,"[142.08, 156.168, 157.071, 157.594, 162.436, 174.893, 179.949, 180.295, 191.473, 207.969, 223.713]","[0.577, 0.531, 0.528, 0.527, 0.511, 0.47, 0.453, 0.452, 0.415, 0.361, 0.309]","[3.491, 1.614, 1.072, 1.017, 0.873, 0.43, 0.425, 0.352, 0.327, 0.261, 0.243]","[['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral']]",Canada's Compassionate Care Benefit: is it an adequate public health response to addressing the issue of caregiver burden in end-of-life care?,"[167.36, 151.709, 133.288, 124.244, 162.695, 127.337, 156.159, 126.309, 149.689, 166.706, 56.876]","[0.718, 0.75, 0.788, 0.807, 0.728, 0.8, 0.741, 0.802, 0.755, 0.72, 0.944]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 23.3, 33.41]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 1.165, 1.671]","[0.995, 0.992, 0.985, 0.974, 0.971, 0.945, 0.911, 0.84, 0.376, 0.988, 0.314]",no,correct,142.08,223.713,0.243,3.491,56.876,167.36,0,33.41,0.314,0.995
279,11053064,PubmedQA,"Yes, fatigue is strongly linked to fibromyalgia in primary Sjögren’s syndrome; 12 % of pSS patients had FM, all FM patients reported fatigue, and fatigue prevalence (68 %) was higher in pSS than in lupus (50 %).",yes,"[55.326, 99.071, 116.253, 123.578, 125.4]","[0.863, 0.719, 0.662, 0.638, 0.632]","[6.114, 3.686, 2.682, 1.219, 0.944]","[['entailment'], ['entailment'], ['contradiction'], ['contradiction'], ['neutral']]",Fatigue in primary SjÃ¶gren's syndrome: is there a link with the fibromyalgia syndrome?,"[233.377, 139.305, 272.927, 266.493, 193.167]","[0.583, 0.776, 0.503, 0.516, 0.666]","[0, 0, 0, 0, 14.92]","[0, 0, 0, 0, 0.746]","[0.993, 0.987, 0.984, 0.767, 0.993]",no,incorrect,55.326,125.4,0.944,6.114,139.305,272.927,0,14.92,0.767,0.993
291,17916877,PubmedQA,"Yes, a 15‑min infusion lowers akathisia incidence (29.3 % vs 6.5 %) without altering headache relief—pain scores improved similarly for both 2‑min bolus and 15‑min infusion.",yes,"[147.62, 219.061, 226.027, 304.002]","[0.559, 0.325, 0.302, 0.045]","[3.636, 3.442, 3.242, 0.604]","[['neutral'], ['neutral'], ['contradiction'], ['entailment']]",Intravenous administration of metoclopramide by 2 min bolus vs 15 min infusion: does it affect the improvement of headache while reducing the side effects?,"[126.823, 104.074, 169.997, 57.671]","[0.801, 0.848, 0.713, 0.943]","[0, 0, 0, 34.98]","[0, 0, 0, 1.749]","[0.963, 0.196, 0.157, 0.364]",yes,correct,147.62,304.002,0.604,3.636,57.671,169.997,0,34.98,0.157,0.963
56,2410.23587v3,OpenRAGBench,"Complex moments give integral formulas for fractional and absolute moments that avoid difficult derivatives of the MGF or CF.   They extend the MGF to complex arguments, linking to Mellin transforms, and thus enable moment calculations in dynamic models where the conditional MGF is defined recursively.   Moreover, equating these integrals with known moments yields new identities (e.g., for the reciprocal Gamma function).  Hence, despite rarity in econometrics, they offer powerful tools for fractional‑moment analysis and model‑identification.",,"[53.142, 94.015, 94.196, 140.456, 152.616]","[0.87, 0.735, 0.735, 0.583, 0.543]","[10.938, 4.65, 4.611, 3.253, 3.179]","['neutral', 'neutral', 'neutral', 'neutral', 'neutral']",Why might complex moments be relevant despite not being commonly used in econometrics?,"[231.887, 238.593, 215.105, 189.647, 229.636]","[0.586, 0.573, 0.621, 0.673, 0.591]","[0, 0, 0, 0, 9.16]","[0, 0, 0, 0, 0.458]","[0.99, 0.936, 0.928, 0.856, 0.988]","Complex moments extend the applicability of moment calculations into areas like statistical mechanics and quantum physics. They offer additional insights that can be integrated with minimal adaptation into econometric models, potentially uncovering new relationships or identities within data.",Correct,53.142,152.616,3.179,10.938,189.647,238.593,0,9.16,0.856,0.99
95,67faf34018b1e36f2e00010a,BioASQ,"No, high values of blood pressure, BMI, and non‑HDL cholesterol are not linked to increased dementia risk in late life; low values of these factors are the ones associated with higher risk.",,"[56.444, 115.851, 141.732, 156.126, 159.459, 199.952]","[0.859, 0.664, 0.579, 0.531, 0.52, 0.387]","[7.639, 4.078, 1.653, 1.37, 1.016, 0.835]","['neutral', 'neutral', 'neutral', 'contradiction', 'neutral', 'neutral']","Have high values of blood pressure, body mass index (BMI), and non-high-density lipoprotein (HDL) cholesterol been associated with increased dementia risk in late life?","[123.73, 181.98, 155.146, 143.771, 57.037, 102.725]","[0.808, 0.689, 0.743, 0.767, 0.944, 0.851]","[0, 0, 0, 24.49, 38.77, 26.18]","[0, 0, 0, 1.225, 1.938, 1.309]","[0.994, 0.984, 0.765, 0.988, 0.986, 0.307]",no,Correct,56.444,199.952,0.835,7.639,57.037,181.98,0,38.77,0.307,0.994
7,23806388,PubmedQA,"Yes, the study found that the four BCR‑nomograms (DPC, Kattan postoperative, JHH, CPDR/CaPSURE) predicted prostate‑cancer‑specific mortality and aggressive BCR with higher accuracy than they predicted overall BCR.",yes,"[138.807, 151.126, 164.043, 164.117, 178.371, 178.561, 183.438, 187.72, 191.645, 236.731, 462.938]","[0.588, 0.548, 0.505, 0.505, 0.458, 0.458, 0.442, 0.428, 0.415, 0.266, -0.477]","[5.647, 4.304, 4.174, 3.881, 3.812, 3.712, 2.439, 2.085, 1.779, 1.669, 0.949]","[['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral']]",Do nomograms designed to predict biochemical recurrence (BCR) do a better job of predicting more clinically relevant prostate cancer outcomes than BCR?,"[123.166, 148.942, 154.48, 183.276, 179.106, 163.812, 172.551, 198.604, 91.796, 182.768, 0]","[0.809, 0.756, 0.745, 0.686, 0.694, 0.726, 0.708, 0.655, 0.873, 0.687, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 32.36, 31.28, 31.49]","[0, 0, 0, 0, 0, 0, 0, 0, 1.618, 1.564, 1.575]","[0.996, 0.971, 0.938, 0.845, 0.355, 0.298, 0.182, 0.135, 0.991, 0.976, 0.987]",yes,correct,138.807,462.938,0.949,5.647,0,198.604,0,32.36,0.135,0.996
11,26298839,PubmedQA,"Yes, the randomized controlled trial showed significant improvements in voice function and quality of life in the genuine acupuncture group compared to sham and no‑treatment controls.",yes,"[134.618, 139.138, 140.596, 141.333, 144.174, 175.425, 179.975, 189.661, 190.711, 198.059, 213.821]","[0.602, 0.587, 0.582, 0.58, 0.571, 0.468, 0.453, 0.421, 0.418, 0.394, 0.342]","[4.692, 3.297, 2.154, 2.029, 0.886, 0.525, 0.344, 0.245, 0.0, 0.0, 0.0]","[['neutral'], ['neutral'], ['contradiction'], ['neutral'], ['contradiction'], ['entailment'], ['entailment'], ['neutral'], ['neutral'], ['neutral'], ['neutral']]",Is Acupuncture Efficacious for Treating Phonotraumatic Vocal Pathologies?,"[465.262, 385.344, 439.314, 432.122, 462.589, 322.877, 322.877, 458.524, 0, 0, 0]","[0.109, 0.273, 0.162, 0.177, 0.115, 0.4, 0.4, 0.123, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 14.87, 15.31, 14.47]","[0, 0, 0, 0, 0, 0, 0, 0, 0.743, 0.766, 0.724]","[0.974, 0.971, 0.936, 0.931, 0.923, 0.697, 0.697, 0.26, 0.991, 0.863, 0.114]",yes,correct,134.618,213.821,0,4.692,0,465.262,0,15.31,0.114,0.991
58,24433626,PubmedQA,"Yes, prevalence rose, indicating Medicare beneficiaries are getting sicker.",yes,"[439.703, 448.565, 464.768, 471.624, 472.97, 476.899, 479.629]","[-0.4, -0.43, -0.483, -0.505, -0.51, -0.523, -0.532]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[['neutral'], ['entailment'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral']]",Prevalence of chronic conditions among Medicare Part A beneficiaries in 2008 and 2010: are Medicare beneficiaries getting sicker?,"[463.268, 466.68, 469.744, 462.524, 454.976, 425.229, 430.217]","[0.113, 0.106, 0.1, 0.115, 0.13, 0.191, 0.181]","[0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0]","[0.987, 0.939, 0.919, 0.85, 0.443, 0.162, 0.135]",yes,correct,439.703,479.629,0,0,425.229,469.744,0,0,0.135,0.987
88,25940336,PubmedQA,"Yes, certain pre‑residency metrics—USMLE scores, OITE results, academic standing—correlate with objective performance measures, though predictive power varies across studies.",yes,"[261.344, 295.929]","[0.186, 0.072]","[1.343, 1.276]","[['neutral'], ['neutral']]",Does Residency Selection Criteria Predict Performance in Orthopaedic Surgery Residency?,"[454.659, 0]","[0.131, 0]","[0, 14.23]","[0, 0.711]","[0.879, 0.994]",yes,correct,261.344,295.929,1.276,1.343,0,454.659,0,14.23,0.879,0.994
141,27096199,PubmedQA,"No, viral co‑infection does not significantly increase the severity of acute respiratory infection in children.",no,"[153.996, 180.324, 186.865, 206.948, 252.889, 308.258, 308.899, 315.469, 355.538, 378.806, 460.786, 480.049]","[0.538, 0.452, 0.43, 0.364, 0.213, 0.031, 0.029, 0.008, -0.124, -0.2, -0.47, -0.533]","[0.978, 0.928, 0.574, 0.509, 0.49, 0.172, 0.16, 0.158, 0.144, 0.14, 0.137, 0.11]","[['contradiction'], ['neutral'], ['contradiction'], ['neutral'], ['neutral'], ['entailment'], ['neutral'], ['entailment'], ['neutral'], ['contradiction'], ['neutral'], ['neutral']]",Does Viral Co-Infection Influence the Severity of Acute Respiratory Infection in Children?,"[405.719, 428.287, 419.651, 429.822, 382.974, 402.576, 265.565, 175.635, 233.09, 0, 0, 0]","[0.231, 0.185, 0.203, 0.182, 0.278, 0.238, 0.518, 0.701, 0.584, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 18.33, 18.85, 19.26]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0.917, 0.942, 0.963]","[0.997, 0.996, 0.995, 0.995, 0.989, 0.986, 0.959, 0.943, 0.676, 0.993, 0.975, 0.537]",no,correct,153.996,480.049,0.11,0.978,0,429.822,0,19.26,0.537,0.997
212,20354380,PubmedQA,"Yes, many women residents report delaying childbearing because they fear career setbacks, such as reduced training opportunities, increased complications, or interference with career plans.",yes,"[189.299, 278.159, 418.071]","[0.422, 0.13, -0.329]","[3.371, 0.636, 0.145]","[['entailment'], ['neutral'], ['neutral']]",Do women residents delay childbearing due to perceived career threats?,"[450.089, 234.861, 318.317]","[0.14, 0.58, 0.41]","[0, 5.33, 7.5]","[0, 0.266, 0.375]","[0.996, 0.994, 0.336]",yes,correct,189.299,418.071,0.145,3.371,234.861,450.089,0,7.5,0.336,0.996
227,26965932,PubmedQA,"Maybe, DES (E‑ZES) still shows lower ischemic events and stent‑thrombosis rates than BMS, even with short DAPT, but BMS can be justified in selected high‑bleeding‑risk patients where the bleeding risk outweighs the ischemic benefit.",maybe,"[169.379, 183.22, 193.945, 207.039, 210.648, 214.455]","[0.488, 0.442, 0.407, 0.364, 0.352, 0.34]","[5.226, 4.748, 4.334, 1.739, 0.413, 0.14]","[['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral']]",Is Bare-Metal Stent Implantation Still Justifiable in High Bleeding Risk Patients Undergoing Percutaneous Coronary Intervention?,"[432.95, 466.369, 460.315, 454.04, 453.59, 302.553]","[0.175, 0.107, 0.12, 0.132, 0.133, 0.442]","[0, 0, 0, 0, 0, 24.55]","[0, 0, 0, 0, 0, 1.228]","[0.985, 0.75, 0.607, 0.173, 0.159, 0.995]",yes,incorrect,169.379,214.455,0.14,5.226,302.553,466.369,0,24.55,0.159,0.995
9,2409.01631v3,OpenRAGBench,Gaussian‑like (approximately a zero‑mean Gaussian).,,"[424.561, 468.365, 478.06, 478.539, 499.412]","[-0.351, -0.495, -0.527, -0.528, -0.597]","[1.118, 1.003, 0.47, 0.069, 0.062]","['neutral', 'neutral', 'neutral', 'neutral', 'neutral']",What is the shape of the Doppler spectrum for mobile antenna motion perpendicular to the mean scattering direction?,"[222.998, 237.204, 136.368, 170.105, 160.294]","[0.605, 0.576, 0.782, 0.713, 0.733]","[0, 0, 25.75, 22.27, 26.36]","[0, 0, 1.287, 1.113, 1.318]","[0.971, 0.406, 0.994, 0.992, 0.99]",The Doppler spectrum exhibits a Gaussian shape for mobile antenna motion perpendicular to the mean scattering direction.,Correct,424.561,499.412,0.062,1.118,136.368,237.204,0,26.36,0.406,0.994
49,2412.20570v1,OpenRAGBench,"A numerical method based on the Poisson‑Nernst‑Planck equations is used, solved with COMSOL Multiphysics via its Coefficient‑Form PDE module.",,"[354.302, 428.214, 443.196, 452.09, 459.59]","[-0.12, -0.363, -0.412, -0.441, -0.466]","[5.952, 1.378, 1.247, 0.405, 0.208]","['neutral', 'neutral', 'neutral', 'neutral', 'neutral']",What method has been developed to solve electro-diffusion equations for ionic currents?,"[254.898, 233.742, 248.841, 230.67, 218.706]","[0.539, 0.583, 0.552, 0.589, 0.613]","[0, 0, 0, 0, 14.9]","[0, 0, 0, 0, 0.745]","[0.985, 0.913, 0.848, 0.116, 0.994]",A method has been developed using regular expansions and Green's function representations to solve Poisson-Nernst-Planck equations with ionic currents entering through narrow window channels. This approach allows for deriving ionic profiles and understanding voltage drops under different charge regimes.,Correct,354.302,459.59,0.208,5.952,218.706,254.898,0,14.9,0.116,0.994
85,2403.01012v4,OpenRAGBench,Independent real‑valued Brownian motions.,,"[459.831, 478.983, 494.411]","[-0.467, -0.53, -0.58]","[2.155, 0.189, 0.0]","['contradiction', 'neutral', 'neutral']",What type of processes do individual idiosyncratic noises form in classical mean field games?,"[251.153, 251.514, 177.939]","[0.547, 0.546, 0.697]","[0, 10.33, 13.68]","[0, 0.517, 0.684]","[0.16, 0.997, 0.966]","In classical mean field games, individual idiosyncratic noises form a sequence of independent real-valued Brownian motions.",Correct,459.831,494.411,0,2.155,177.939,251.514,0,13.68,0.16,0.997
4,67d4903418b1e36f2e000018,BioASQ,"Yes, SATB1.",,[452.382],[-0.442],[0.209],['neutral'],Which gene shapes the 3D enhancer network of the developing T cell genome?,[156.327],[0.741],[14.24],[0.712],[0.998],[['SATB1']],Correct,452.382,452.382,0.209,0.209,156.327,156.327,14.24,14.24,0.998,0.998
25,67e7df6118b1e36f2e0000d8,BioASQ,"Yes, MiDAS 4.",,"[417.189, 425.163, 425.536, 425.98, 427.77, 450.398, 450.398]","[-0.326, -0.353, -0.354, -0.355, -0.361, -0.436, -0.436]","[0.828, 0.463, 0.0, 0.0, 0.0, 0.0, 0.0]","['neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'contradiction', 'contradiction']",Which database serves as a catalogue of full-length 16S rRNA gene sequences from bacteria in wastewater treatment plants?,"[245.409, 240.714, 244.084, 237.277, 117.014, 226.309, 0]","[0.559, 0.568, 0.562, 0.575, 0.821, 0.598, 0]","[0, 0, 0, 0, 27.58, 19.81, 10.95]","[0, 0, 0, 0, 1.379, 0.99, 0.547]","[0.995, 0.917, 0.39, 0.237, 0.997, 0.988, 0.996]",[['MiDAS 4']],Correct,417.189,450.398,0,0.828,0,245.409,0,27.58,0.237,0.997
26,67e7db2918b1e36f2e0000d6,BioASQ,"Yes, 14.",,"[468.242, 484.117]","[-0.494, -0.546]","[0.251, 0.0]","['neutral', 'neutral']",What is currently the number of germline associations with clonal hematopoiesis in European-ancestry populations?,"[211.691, 125.186]","[0.628, 0.805]","[0, 16.1]","[0, 0.805]","[0.797, 0.998]",[['14']],Correct,468.242,484.117,0,0.251,125.186,211.691,0,16.1,0.797,0.998
59,67dede2918b1e36f2e000062,BioASQ,"Yes, DrugnomeAI.",,"[434.877, 501.324, 501.324]","[-0.385, -0.603, -0.603]","[0.36, 0.185, 0.185]","['neutral', 'neutral', 'neutral']",Which ensemble machine-learning framework has been developed for predicting druggability?,"[138.631, 259.531, 0]","[0.777, 0.53, 0]","[16.16, 13.27, 12.47]","[0.808, 0.664, 0.623]","[0.997, 0.99, 0.989]",[['DrugnomeAI']],Correct,434.877,501.324,0.185,0.36,0,259.531,12.47,16.16,0.989,0.997
71,67e26d6218b1e36f2e000074,BioASQ,"Yes, 30–50 years.",,"[373.582, 388.895, 408.242, 418.665, 419.205, 429.548, 443.521, 456.536]","[-0.183, -0.234, -0.297, -0.331, -0.333, -0.367, -0.413, -0.456]","[0.788, 0.783, 0.501, 0.401, 0.382, 0.122, 0.12, 0.118]","['contradiction', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral']",Typical age range of onset of systemic scleroderma.,"[228.007, 186.136, 235.961, 117.28, 242.765, 252.611, 115.83, 165.106]","[0.594, 0.68, 0.578, 0.821, 0.564, 0.544, 0.824, 0.723]","[0, 0, 0, 0, 0, 7.06, 5.9, 10.63]","[0, 0, 0, 0, 0, 0.353, 0.295, 0.532]","[0.996, 0.994, 0.983, 0.97, 0.776, 0.99, 0.988, 0.969]",[['50+-16 years']],Incorrect,373.582,456.536,0.118,0.788,115.83,252.611,0,10.63,0.776,0.996
