question_id,mean_distance_a,relevance_score,hallucination_index_by_equation,hallucination_index_by_ml,vector_distances,vector_scores,bm25_scores,rerank_sentiments
66,258.519,86.0,8.0,27.0,"[196.227, 222.377, 222.739, 223.974, 224.713, 234.018, 239.204, 252.469, 271.758, 272.769, 279.67, 224.713, 234.018, 196.227, 222.377, 279.67]","[0.598, 0.546, 0.545, 0.542, 0.541, 0.522, 0.512, 0.485, 0.446, 0.444, 0.43, 0.541, 0.522, 0.598, 0.546, 0.43]","[0.22, 0.14, 0.117, 0.109, 0.076, 0.061, 0.053, 0.05, 0.047, 0.043, 0.036, 0.076, 0.061, 0.22, 0.14, 0.036]","['neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral']"
67,140.424,97.0,0,27.0,"[95.608, 109.398, 113.692, 128.791, 130.32, 152.422, 154.039, 155.09, 95.608, 109.398, 113.692]","[0.802, 0.774, 0.765, 0.735, 0.732, 0.687, 0.684, 0.682, 0.802, 0.774, 0.765]","[0.162, 0.143, 0.138, 0.131, 0.126, 0.089, 0.063, 0.063, 0.162, 0.143, 0.138]","['contradiction', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'contradiction', 'neutral', 'neutral']"
68,147.191,97.0,0,24.0,"[112.303, 119.519, 144.929, 212.014]","[0.768, 0.754, 0.702, 0.567]","[0.128, 0.121, 0.027, 0.018]","['neutral', 'neutral', 'neutral', 'neutral']"
69,230.702,88.0,0,24.0,"[182.6, 209.518, 210.717, 213.903, 217.621, 219.101, 225.589, 225.758, 225.89, 226.159, 229.544, 209.518, 225.89, 226.159, 213.903, 219.101, 225.589, 225.758]","[0.626, 0.572, 0.569, 0.563, 0.555, 0.552, 0.539, 0.539, 0.539, 0.538, 0.531, 0.572, 0.539, 0.538, 0.563, 0.552, 0.539, 0.539]","[0.214, 0.2, 0.19, 0.117, 0.116, 0.103, 0.095, 0.082, 0.077, 0.065, 0.06, 0.2, 0.077, 0.065, 0.117, 0.103, 0.095, 0.082]","['neutral', 'contradiction', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'contradiction', 'neutral', 'contradiction', 'neutral', 'contradiction', 'neutral', 'neutral', 'neutral', 'neutral']"
70,203.04,92.0,0,25.0,"[174.546, 181.229, 181.552, 174.546, 181.552]","[0.642, 0.629, 0.628, 0.642, 0.628]","[0.062, 0.061, 0.011, 0.062, 0.011]","['neutral', 'neutral', 'neutral', 'neutral', 'neutral']"
71,369.942,76.0,8.0,37.0,"[331.801, 351.15, 359.926, 360.464, 371.857, 382.765, 382.898, 359.926, 382.765]","[0.324, 0.285, 0.267, 0.266, 0.243, 0.221, 0.221, 0.267, 0.221]","[0.056, 0.037, 0.026, 0.026, 0.022, 0.01, 0.009, 0.026, 0.01]","['contradiction', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral']"
72,201.889,93.0,0,26.0,"[164.12, 179.198, 183.489, 202.79, 164.12, 179.198]","[0.663, 0.633, 0.624, 0.585, 0.663, 0.633]","[0.034, 0.027, 0.021, 0.018, 0.034, 0.027]","['neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral']"
73,469.799,66.0,26.0,38.0,"[439.801, 446.65, 488.852, 503.893]","[0.106, 0.092, 0.007, -0.024]","[0.049, 0.014, 0.0, 0.0]","['neutral', 'neutral', 'neutral', 'neutral']"
74,205.827,91.0,0,24.0,"[120.556, 241.3, 255.626]","[0.751, 0.507, 0.478]","[0.178, 0.054, 0.04]","['neutral', 'neutral', 'neutral']"
75,187.779,92.0,0,22.0,"[159.183, 159.275, 161.891, 178.128, 178.38, 189.125, 178.128, 159.275, 161.891]","[0.673, 0.673, 0.668, 0.635, 0.635, 0.613, 0.635, 0.673, 0.668]","[0.299, 0.167, 0.166, 0.091, 0.074, 0.059, 0.091, 0.167, 0.166]","['neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral']"
76,136.003,98.0,0,29.0,"[102.985, 106.687, 117.556, 124.916, 133.173, 137.897, 106.687, 117.556, 182.638]","[0.787, 0.78, 0.758, 0.743, 0.726, 0.716, 0.78, 0.758, 0.626]","[0.092, 0.073, 0.073, 0.072, 0.071, 0.068, 0.073, 0.073, 0.019]","['neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral']"
77,148.792,98.0,0,28.0,"[108.559, 115.876, 116.693, 126.495, 135.33, 143.941, 146.686, 147.017, 147.208, 149.347, 149.564, 149.74, 150.378, 147.208, 149.347, 116.693, 108.559, 126.495]","[0.776, 0.761, 0.759, 0.739, 0.722, 0.704, 0.699, 0.698, 0.698, 0.693, 0.693, 0.692, 0.691, 0.698, 0.693, 0.759, 0.776, 0.739]","[0.058, 0.057, 0.057, 0.054, 0.048, 0.045, 0.041, 0.039, 0.039, 0.033, 0.03, 0.026, 0.024, 0.039, 0.033, 0.057, 0.058, 0.054]","['neutral', 'neutral', 'neutral', 'entailment', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'entailment']"
78,152.805,97.0,0,26.0,"[105.789, 106.457, 110.555, 113.542, 114.689, 116.297, 116.652, 128.099, 133.57, 135.429, 168.708, 170.227, 178.517, 182.703, 116.297, 128.099, 135.429, 170.227]","[0.781, 0.78, 0.772, 0.766, 0.763, 0.76, 0.759, 0.736, 0.725, 0.721, 0.654, 0.651, 0.634, 0.626, 0.76, 0.736, 0.721, 0.651]","[0.153, 0.151, 0.11, 0.11, 0.087, 0.054, 0.054, 0.045, 0.042, 0.036, 0.034, 0.023, 0.021, 0.013, 0.054, 0.045, 0.036, 0.023]","['neutral', 'neutral', 'entailment', 'neutral', 'neutral', 'contradiction', 'neutral', 'neutral', 'contradiction', 'neutral', 'neutral', 'neutral', 'neutral', 'entailment', 'contradiction', 'neutral', 'neutral', 'neutral']"
79,182.237,93.0,0,27.0,"[126.331, 197.625, 126.331]","[0.74, 0.596, 0.74]","[0.197, 0.084, 0.197]","['contradiction', 'neutral', 'contradiction']"
80,147.0,98.0,0,26.0,"[84.906, 112.037, 119.769, 122.473, 128.914, 130.513, 141.827, 142.533, 143.489, 144.938, 145.967, 150.163, 84.906, 119.769, 122.473, 145.967, 128.914, 130.513, 141.827]","[0.824, 0.769, 0.753, 0.748, 0.735, 0.731, 0.708, 0.707, 0.705, 0.702, 0.7, 0.692, 0.824, 0.753, 0.748, 0.7, 0.735, 0.731, 0.708]","[0.115, 0.101, 0.074, 0.065, 0.062, 0.055, 0.054, 0.048, 0.044, 0.038, 0.034, 0.033, 0.115, 0.074, 0.065, 0.034, 0.062, 0.055, 0.054]","['neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral']"
81,266.904,86.0,13.0,44.0,"[266.904]","[0.456]","[0.017]","['neutral']"
82,147.944,96.0,0,31.0,"[107.053, 137.69, 146.344, 167.392, 181.24]","[0.779, 0.717, 0.699, 0.657, 0.629]","[0.146, 0.095, 0.092, 0.091, 0.07]","['neutral', 'neutral', 'neutral', 'neutral', 'neutral']"
83,432.895,70.0,24.0,42.0,"[384.061, 432.166, 482.457]","[0.219, 0.121, 0.02]","[0.013, 0.009, 0.0]","['neutral', 'neutral', 'neutral']"
84,157.378,97.0,0,33.0,"[118.73, 133.254, 136.778, 140.021, 142.328, 145.144, 118.73, 133.254, 145.144, 140.021, 142.328, 191.903, 192.271]","[0.755, 0.726, 0.719, 0.712, 0.707, 0.702, 0.755, 0.726, 0.702, 0.712, 0.707, 0.607, 0.606]","[0.004, 0.004, 0.004, 0.004, 0.004, 0.004, 0.004, 0.004, 0.004, 0.004, 0.004, 0.003, 0.003]","['neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral']"
85,219.449,91.0,0,25.0,"[192.106, 193.971, 199.321, 206.103, 192.106, 193.971, 199.321, 206.103, 241.098, 245.361, 263.588]","[0.607, 0.603, 0.592, 0.579, 0.607, 0.603, 0.592, 0.579, 0.508, 0.499, 0.462]","[0.044, 0.042, 0.017, 0.014, 0.044, 0.042, 0.017, 0.014, 0.01, 0.005, 0.003]","['neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral']"
86,312.296,82.0,6.0,34.0,"[259.178, 263.097, 275.124, 294.606, 295.988, 296.318, 296.797, 299.518, 305.399, 305.662, 263.097, 299.518, 305.399, 294.606, 295.988, 305.662, 296.318, 360.202]","[0.471, 0.463, 0.439, 0.4, 0.397, 0.396, 0.395, 0.39, 0.378, 0.377, 0.463, 0.39, 0.378, 0.4, 0.397, 0.377, 0.396, 0.267]","[0.01, 0.009, 0.009, 0.008, 0.008, 0.007, 0.007, 0.007, 0.007, 0.006, 0.009, 0.007, 0.007, 0.008, 0.008, 0.006, 0.007, 0.0]","['neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral']"
87,141.212,98.0,0,29.0,"[90.215, 113.133, 118.043, 120.908, 127.282, 130.936, 133.93, 134.155, 90.215, 127.282, 130.936, 133.93, 113.133, 195.705]","[0.813, 0.767, 0.757, 0.751, 0.738, 0.731, 0.724, 0.724, 0.813, 0.738, 0.731, 0.724, 0.767, 0.6]","[0.105, 0.081, 0.077, 0.063, 0.06, 0.057, 0.047, 0.04, 0.105, 0.06, 0.057, 0.047, 0.081, 0.021]","['neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral']"
88,343.112,78.0,25.0,36.0,"[207.846, 320.748, 328.177, 399.638, 207.846]","[0.575, 0.347, 0.332, 0.187, 0.575]","[0.047, 0.046, 0.005, 0.005, 0.047]","['neutral', 'neutral', 'neutral', 'neutral', 'neutral']"
89,209.185,91.0,1.0,30.0,"[203.108, 215.261]","[0.585, 0.56]","[0.038, 0.037]","['neutral', 'neutral']"
90,476.926,65.0,26.0,33.0,"[366.971, 426.579, 466.495, 492.863, 466.495, 587.972]","[0.253, 0.133, 0.052, -0.001, 0.052, -0.194]","[0.03, 0.02, 0.0, 0.0, 0.0, 0.0]","['neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral']"
91,148.263,97.0,0,30.0,"[117.776, 126.326, 134.189, 135.029, 137.569, 147.84, 158.768, 169.807, 173.429, 173.429]","[0.757, 0.74, 0.724, 0.722, 0.717, 0.696, 0.674, 0.652, 0.645, 0.645]","[0.136, 0.086, 0.072, 0.071, 0.064, 0.062, 0.054, 0.044, 0.006, 0.006]","['neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral']"
92,155.568,97.0,0,37.0,"[134.087, 138.283, 146.82, 152.407, 155.944, 156.626, 156.928, 157.637, 159.415, 164.822, 159.415]","[0.724, 0.716, 0.698, 0.687, 0.68, 0.679, 0.678, 0.677, 0.673, 0.662, 0.673]","[0.016, 0.015, 0.015, 0.015, 0.015, 0.014, 0.01, 0.008, 0.006, 0.006, 0.006]","['neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'contradiction', 'neutral']"
93,192.523,92.0,0,24.0,"[95.405, 176.677, 197.844, 222.441, 227.137, 95.405]","[0.802, 0.638, 0.595, 0.545, 0.536, 0.802]","[0.368, 0.111, 0.085, 0.046, 0.035, 0.368]","['neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral']"
94,256.943,87.0,0.0,33.0,"[191.532, 213.918, 289.028, 333.293]","[0.608, 0.563, 0.411, 0.321]","[0.013, 0.01, 0.008, 0.0]","['neutral', 'neutral', 'neutral', 'neutral']"
95,150.171,95.0,8.0,29.0,"[53.377, 116.994, 146.74, 158.312, 161.516, 172.188, 242.073]","[0.887, 0.759, 0.699, 0.675, 0.669, 0.647, 0.506]","[0.496, 0.213, 0.102, 0.084, 0.081, 0.066, 0.058]","['neutral', 'neutral', 'contradiction', 'neutral', 'neutral', 'neutral', 'neutral']"
96,259.293,86.0,-0.0,29.0,"[226.844, 263.985, 226.844, 263.985]","[0.537, 0.461, 0.537, 0.461]","[0.066, 0.057, 0.066, 0.057]","['neutral', 'neutral', 'neutral', 'neutral']"
97,416.414,71.0,13.0,46.0,"[326.184, 422.245, 422.245]","[0.336, 0.141, 0.141]","[0.032, 0.018, 0.018]","['neutral', 'contradiction', 'contradiction']"
98,157.063,97.0,0,32.0,"[110.398, 130.468, 134.233, 157.792, 110.398, 134.233, 130.468, 157.792, 172.484, 173.917, 182.016]","[0.772, 0.731, 0.724, 0.676, 0.772, 0.724, 0.731, 0.676, 0.646, 0.644, 0.627]","[0.04, 0.039, 0.038, 0.036, 0.04, 0.038, 0.039, 0.036, 0.021, 0.018, 0.017]","['contradiction', 'neutral', 'neutral', 'neutral', 'contradiction', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral']"
99,409.612,72.0,20.0,34.0,"[294.878, 372.965, 454.736, 294.878]","[0.399, 0.241, 0.076, 0.399]","[0.05, 0.0, 0.0, 0.05]","['neutral', 'neutral', 'neutral', 'neutral']"
100,276.705,85.0,1.0,36.0,"[241.06, 244.063, 246.475, 247.903, 262.0, 273.424, 283.437, 287.304, 290.311, 297.08, 273.424, 290.311]","[0.508, 0.502, 0.497, 0.494, 0.465, 0.442, 0.422, 0.414, 0.408, 0.395, 0.442, 0.408]","[0.052, 0.051, 0.048, 0.047, 0.027, 0.022, 0.018, 0.011, 0.011, 0.007, 0.022, 0.011]","['contradiction', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral']"
101,156.881,96.0,0,27.0,"[118.871, 121.616, 144.422, 145.218, 146.373, 148.015, 118.871, 121.616, 178.303, 186.075, 186.216]","[0.755, 0.749, 0.703, 0.702, 0.699, 0.696, 0.755, 0.749, 0.635, 0.619, 0.619]","[0.184, 0.182, 0.18, 0.115, 0.11, 0.063, 0.184, 0.182, 0.032, 0.029, 0.008]","['neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral']"
102,157.899,96.0,0,24.0,"[145.717, 146.109, 147.214, 148.548, 149.814, 152.278, 153.103, 159.586, 171.381, 159.586, 146.109]","[0.701, 0.7, 0.698, 0.695, 0.692, 0.687, 0.686, 0.673, 0.649, 0.673, 0.7]","[0.207, 0.167, 0.136, 0.085, 0.074, 0.073, 0.064, 0.045, 0.043, 0.045, 0.167]","['neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral']"
103,191.27,94.0,0,27.0,"[140.05, 166.432, 166.908, 173.39, 177.368, 183.12, 183.523, 190.956, 196.053, 173.39, 183.523, 166.432, 166.908, 239.972]","[0.712, 0.659, 0.658, 0.645, 0.637, 0.625, 0.624, 0.609, 0.599, 0.645, 0.624, 0.659, 0.658, 0.51]","[0.037, 0.036, 0.032, 0.032, 0.027, 0.021, 0.018, 0.016, 0.015, 0.032, 0.018, 0.036, 0.032, 0.006]","['neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral']"
104,109.129,100,0,32.0,"[88.952, 94.248, 96.779, 114.801, 88.952]","[0.815, 0.805, 0.8, 0.763, 0.815]","[0.118, 0.069, 0.044, 0.024, 0.118]","['neutral', 'neutral', 'neutral', 'neutral', 'neutral']"
105,311.562,82.0,4.0,35.0,"[242.981, 257.229, 259.023, 272.048, 279.954, 289.948, 257.229, 289.948, 259.023, 272.048]","[0.504, 0.475, 0.472, 0.445, 0.429, 0.409, 0.475, 0.409, 0.472, 0.445]","[0.01, 0.01, 0.01, 0.009, 0.009, 0.009, 0.01, 0.009, 0.01, 0.009]","['neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral']"
106,189.295,93.0,0,26.0,"[141.71, 157.394, 175.128, 194.347, 175.128]","[0.709, 0.677, 0.641, 0.602, 0.641]","[0.104, 0.09, 0.081, 0.065, 0.081]","['contradiction', 'neutral', 'neutral', 'neutral', 'neutral']"
107,118.902,100,0,29.0,"[85.939, 88.403, 96.382, 97.889, 100.052, 100.25, 101.098, 102.204, 102.402, 103.787, 104.298, 108.825, 85.939, 104.298, 88.403, 96.382, 97.889, 100.052, 101.098, 108.825, 102.204, 103.787, 187.334, 192.27]","[0.821, 0.817, 0.8, 0.797, 0.793, 0.793, 0.791, 0.789, 0.788, 0.785, 0.784, 0.775, 0.821, 0.784, 0.817, 0.8, 0.797, 0.793, 0.791, 0.775, 0.789, 0.785, 0.616, 0.606]","[0.028, 0.025, 0.023, 0.022, 0.022, 0.022, 0.021, 0.021, 0.021, 0.021, 0.021, 0.021, 0.028, 0.021, 0.025, 0.023, 0.022, 0.022, 0.021, 0.021, 0.021, 0.021, 0.003, 0.003]","['neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral']"
108,346.372,78.0,8.0,33.0,"[297.639, 300.874, 307.45, 307.998, 316.388, 321.398, 326.316, 327.168, 334.019, 336.756, 297.639, 300.874, 334.019, 307.45, 336.756, 307.998, 316.388, 388.993, 395.234, 395.26, 442.371]","[0.393, 0.387, 0.374, 0.372, 0.356, 0.345, 0.335, 0.334, 0.32, 0.314, 0.393, 0.387, 0.32, 0.374, 0.314, 0.372, 0.356, 0.209, 0.196, 0.196, 0.101]","[0.031, 0.029, 0.024, 0.023, 0.023, 0.023, 0.023, 0.022, 0.017, 0.017, 0.031, 0.029, 0.017, 0.024, 0.017, 0.023, 0.023, 0.002, 0.002, 0.002, 0.0]","['neutral', 'neutral', 'entailment', 'contradiction', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'entailment', 'neutral', 'contradiction', 'neutral', 'neutral', 'contradiction', 'neutral', 'neutral']"
109,143.304,98.0,0,25.0,"[110.635, 118.449, 119.647, 123.621, 132.0, 132.468, 133.081, 133.872, 137.335, 163.063, 118.449, 119.647, 123.621]","[0.772, 0.756, 0.753, 0.745, 0.728, 0.727, 0.726, 0.725, 0.718, 0.666, 0.756, 0.753, 0.745]","[0.095, 0.084, 0.083, 0.071, 0.06, 0.057, 0.045, 0.041, 0.027, 0.024, 0.084, 0.083, 0.071]","['neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral']"
110,255.586,86.0,4.0,27.0,"[107.496, 172.042, 204.672, 255.339, 258.427, 107.496, 172.042]","[0.778, 0.647, 0.581, 0.479, 0.473, 0.778, 0.647]","[0.141, 0.125, 0.097, 0.031, 0.017, 0.141, 0.125]","['neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral']"
111,128.687,99.0,0,27.0,"[101.259, 114.765, 143.125, 114.765]","[0.791, 0.763, 0.706, 0.763]","[0.133, 0.099, 0.081, 0.099]","['neutral', 'neutral', 'neutral', 'neutral']"
112,352.556,77.0,2.0,44.0,"[352.556]","[0.282]","[0.014]","['neutral']"
113,130.081,97.0,0,27.0,"[81.791, 120.159, 146.582, 148.571, 148.571]","[0.83, 0.752, 0.699, 0.695, 0.695]","[0.307, 0.125, 0.109, 0.106, 0.106]","['neutral', 'neutral', 'neutral', 'neutral', 'neutral']"
114,181.357,94.0,0,28.0,"[134.372, 137.694, 156.375, 165.193, 169.445, 176.782, 178.526, 183.782, 191.732, 198.734, 208.0, 156.375, 208.0]","[0.724, 0.717, 0.679, 0.661, 0.653, 0.638, 0.634, 0.624, 0.608, 0.593, 0.575, 0.679, 0.575]","[0.134, 0.119, 0.117, 0.115, 0.097, 0.08, 0.057, 0.054, 0.045, 0.04, 0.028, 0.117, 0.028]","['neutral', 'neutral', 'neutral', 'contradiction', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral']"
115,292.783,84.0,2.0,35.0,"[215.671, 263.43, 264.892, 264.924, 269.322, 291.912, 264.892, 264.924, 215.671, 269.322, 327.201, 344.072, 347.439]","[0.559, 0.463, 0.46, 0.46, 0.451, 0.405, 0.46, 0.46, 0.559, 0.451, 0.334, 0.3, 0.293]","[0.008, 0.008, 0.007, 0.007, 0.007, 0.007, 0.007, 0.007, 0.008, 0.007, 0.004, 0.0, 0.0]","['neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral']"
116,371.122,75.0,9.0,36.0,"[327.913, 363.616, 394.797, 394.797]","[0.332, 0.26, 0.197, 0.197]","[0.095, 0.021, 0.007, 0.007]","['neutral', 'neutral', 'neutral', 'neutral']"
117,177.064,94.0,6.0,40.0,"[177.064]","[0.637]","[0.055]","['neutral']"
118,288.194,84.0,4.0,35.0,"[288.194]","[0.413]","[0.037]","['neutral']"
119,201.812,92.0,0,23.0,"[132.198, 169.58, 175.761, 181.91, 182.226, 184.269, 184.805, 132.198, 169.58, 184.805, 175.761, 182.226, 184.269, 250.589, 286.26]","[0.728, 0.652, 0.64, 0.627, 0.627, 0.623, 0.622, 0.728, 0.652, 0.622, 0.64, 0.627, 0.623, 0.489, 0.416]","[0.085, 0.08, 0.07, 0.067, 0.059, 0.059, 0.058, 0.085, 0.08, 0.058, 0.07, 0.059, 0.059, 0.031, 0.028]","['neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral']"
120,148.731,97.0,0,26.0,"[109.694, 128.12, 139.568, 147.044, 128.12, 167.723, 190.376]","[0.773, 0.736, 0.713, 0.698, 0.736, 0.656, 0.61]","[0.202, 0.063, 0.056, 0.041, 0.063, 0.03, 0.029]","['neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral']"
121,105.435,100.0,0,29.0,"[64.528, 100.91, 109.293, 123.037, 64.528]","[0.865, 0.791, 0.774, 0.746, 0.865]","[0.352, 0.127, 0.059, 0.039, 0.352]","['neutral', 'neutral', 'neutral', 'neutral', 'neutral']"
122,258.058,87.0,0,27.0,"[192.171, 226.748, 238.788, 246.501, 250.029, 258.691, 246.501, 238.788, 302.467, 335.871]","[0.607, 0.537, 0.512, 0.497, 0.49, 0.472, 0.497, 0.512, 0.384, 0.316]","[0.021, 0.019, 0.019, 0.019, 0.018, 0.018, 0.019, 0.019, 0.006, 0.004]","['neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral']"
123,217.008,91.0,0,32.0,"[215.5, 218.517]","[0.56, 0.553]","[0.024, 0.015]","['neutral', 'contradiction']"
124,136.907,99.0,0,34.0,"[88.948, 99.403, 121.867, 127.749, 128.37, 130.168, 130.218, 132.566, 132.916, 99.403, 121.867, 132.916, 127.749, 128.37, 130.168, 130.218, 205.132]","[0.815, 0.794, 0.749, 0.737, 0.736, 0.732, 0.732, 0.727, 0.727, 0.794, 0.749, 0.727, 0.737, 0.736, 0.732, 0.732, 0.58]","[0.008, 0.007, 0.007, 0.007, 0.007, 0.007, 0.007, 0.007, 0.007, 0.007, 0.007, 0.007, 0.007, 0.007, 0.007, 0.007, 0.003]","['neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral']"
125,234.205,89.0,0,27.0,"[167.269, 179.958, 182.015, 196.276, 226.715, 227.906, 229.361, 231.399, 234.669, 234.823, 240.875, 247.416, 167.269, 179.958, 182.015, 240.875]","[0.657, 0.631, 0.627, 0.598, 0.537, 0.534, 0.531, 0.527, 0.521, 0.52, 0.508, 0.495, 0.657, 0.631, 0.627, 0.508]","[0.052, 0.047, 0.014, 0.013, 0.013, 0.013, 0.012, 0.012, 0.011, 0.011, 0.011, 0.01, 0.052, 0.047, 0.014, 0.011]","['neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral']"
126,179.764,94.0,0,26.0,"[149.118, 151.303, 158.187, 158.459, 159.88, 163.484, 165.484, 166.746, 170.041, 173.808, 174.672, 175.441, 175.691, 173.808, 149.118, 151.303, 174.672, 175.441, 159.88, 165.484]","[0.694, 0.689, 0.675, 0.675, 0.672, 0.665, 0.661, 0.658, 0.651, 0.644, 0.642, 0.641, 0.64, 0.644, 0.694, 0.689, 0.642, 0.641, 0.672, 0.661]","[0.114, 0.069, 0.066, 0.059, 0.055, 0.052, 0.051, 0.041, 0.037, 0.037, 0.036, 0.031, 0.026, 0.037, 0.114, 0.069, 0.036, 0.031, 0.055, 0.051]","['neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral']"
127,142.154,98.0,0,28.0,"[87.912, 106.812, 110.946, 120.625, 135.412, 143.332, 144.021, 147.822, 87.912, 143.332, 147.822, 120.625, 135.412, 175.331, 178.478]","[0.817, 0.779, 0.771, 0.751, 0.721, 0.705, 0.704, 0.696, 0.817, 0.705, 0.696, 0.751, 0.721, 0.641, 0.634]","[0.052, 0.049, 0.049, 0.045, 0.043, 0.039, 0.035, 0.034, 0.052, 0.039, 0.034, 0.045, 0.043, 0.015, 0.014]","['neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'contradiction', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral']"
128,184.038,94.0,0,28.0,"[152.053, 216.023]","[0.688, 0.558]","[0.058, 0.037]","['neutral', 'neutral']"
129,445.488,68.0,27.0,49.0,"[401.472, 449.307, 463.487, 467.688]","[0.183, 0.087, 0.058, 0.05]","[0.0, 0.0, 0.0, 0.0]","['neutral', 'neutral', 'neutral', 'neutral']"
130,199.551,90.0,0,28.0,"[167.304, 170.725, 171.872, 181.57, 192.369, 193.723, 193.966, 200.813, 201.464, 211.378, 215.137, 217.105, 218.428, 201.464, 171.872]","[0.657, 0.65, 0.648, 0.628, 0.606, 0.604, 0.603, 0.589, 0.588, 0.568, 0.56, 0.556, 0.554, 0.588, 0.648]","[0.344, 0.344, 0.288, 0.282, 0.239, 0.238, 0.198, 0.189, 0.148, 0.127, 0.113, 0.089, 0.082, 0.148, 0.288]","['neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'contradiction', 'contradiction', 'contradiction', 'neutral', 'neutral', 'neutral', 'contradiction', 'neutral']"
