QID,pubmed_id,mean_distance_a,relevance_score,hallucination_index,vector_distances,vector_scores,bm25_scores,rerank_sentiments
58,2404.17509v2,240.029,26.0,68.0,"[144.762, 211.418, 223.854, 224.019, 228.816, 235.097, 144.762, 211.418, 223.854, 224.019, 228.816, 265.071, 345.188]","[0.569, 0.35, 0.309, 0.308, 0.292, 0.272, 0.569, 0.35, 0.309, 0.308, 0.292, 0.173, -0.09]","[0.12, 0.088, 0.08, 0.075, 0.073, 0.069, 0.12, 0.088, 0.08, 0.075, 0.073, 0.021, 0.019]","['neutral', 'neutral', 'neutral', 'entailment', 'contradiction', 'contradiction', 'neutral', 'neutral', 'neutral', 'entailment', 'contradiction', 'neutral', 'neutral']"
59,2406.00912v2,338.581,0,88.0,"[258.035, 277.854, 278.808, 296.161, 306.617, 258.035, 277.854, 278.808, 296.161, 306.617, 362.61, 373.025, 378.919, 379.56, 395.201, 417.608]","[0.196, 0.131, 0.128, 0.071, 0.037, 0.196, 0.131, 0.128, 0.071, 0.037, -0.147, -0.181, -0.201, -0.203, -0.254, -0.328]","[0.079, 0.066, 0.046, 0.04, 0.04, 0.079, 0.066, 0.046, 0.04, 0.04, 0.017, 0.016, 0.013, 0.01, 0.0, 0.0]","['neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'contradiction', 'neutral']"
60,2406.16586v3,184.979,44.0,56.0,"[131.654, 152.986, 190.306, 190.306, 152.986, 198.098, 198.665, 213.624]","[0.612, 0.542, 0.419, 0.419, 0.542, 0.393, 0.392, 0.342]","[0.178, 0.129, 0.038, 0.038, 0.129, 0.033, 0.03, 0.017]","['neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral']"
61,2409.16681v2,174.133,47.0,42.0,"[121.974, 127.853, 133.064, 146.279, 151.113, 159.152, 172.479, 181.315, 183.688, 187.681, 121.974, 159.152, 172.479, 133.064, 187.681]","[0.644, 0.624, 0.607, 0.564, 0.548, 0.521, 0.478, 0.449, 0.441, 0.428, 0.644, 0.521, 0.478, 0.607, 0.428]","[0.727, 0.632, 0.46, 0.274, 0.242, 0.236, 0.23, 0.19, 0.175, 0.167, 0.727, 0.236, 0.23, 0.46, 0.167]","['contradiction', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'contradiction', 'neutral', 'neutral', 'neutral', 'neutral']"
62,2404.07128v3,154.697,54.0,37.0,"[100.93, 120.609, 128.781, 156.484, 165.661, 177.083, 177.644, 120.609, 165.661]","[0.713, 0.648, 0.621, 0.53, 0.5, 0.462, 0.461, 0.648, 0.5]","[0.58, 0.482, 0.378, 0.358, 0.178, 0.174, 0.107, 0.482, 0.178]","['neutral', 'contradiction', 'neutral', 'neutral', 'entailment', 'neutral', 'neutral', 'contradiction', 'entailment']"
63,2410.05459v2,323.398,0,88.0,"[245.545, 245.545, 326.682, 333.561, 339.575, 371.131, 0]","[0.238, 0.238, -0.029, -0.052, -0.071, -0.175, 0]","[0.173, 0.173, 0.049, 0.049, 0.042, 0.039, 0.039]","['neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral']"
64,2412.11336v3,171.963,48.0,48.0,"[111.254, 123.717, 154.344, 154.703, 172.819, 185.068, 198.611, 201.251, 198.611, 201.251]","[0.679, 0.638, 0.537, 0.536, 0.476, 0.436, 0.392, 0.383, 0.392, 0.383]","[0.301, 0.217, 0.178, 0.165, 0.162, 0.143, 0.139, 0.11, 0.139, 0.11]","['neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral']"
65,2407.11894v2,247.227,23.0,84.0,"[247.227]","[0.232]","[0.042]","['neutral']"
66,2501.00225v2,149.492,55.0,36.0,"[73.519, 74.595, 100.218, 106.924, 148.743, 156.992, 157.731, 158.65, 164.976, 191.498, 195.478, 73.519, 191.498, 100.218]","[0.803, 0.799, 0.715, 0.693, 0.556, 0.528, 0.526, 0.523, 0.502, 0.415, 0.402, 0.803, 0.415, 0.715]","[0.645, 0.605, 0.569, 0.54, 0.436, 0.418, 0.381, 0.355, 0.251, 0.204, 0.183, 0.645, 0.204, 0.569]","['neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral']"
67,2411.16245v2,144.971,57.0,37.0,"[140.488, 142.24, 142.24]","[0.583, 0.577, 0.577]","[0.364, 0.334, 0.334]","['neutral', 'neutral', 'neutral']"
68,2406.05923v2,248.552,23.0,57.0,"[139.273, 156.542, 199.393, 139.273, 156.542, 390.11]","[0.587, 0.53, 0.389, 0.587, 0.53, -0.238]","[0.19, 0.139, 0.048, 0.19, 0.139, 0.02]","['neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral']"
69,2406.04928v3,287.915,10.0,74.0,"[167.528, 234.315, 237.407, 242.234, 261.845, 242.234, 167.528, 234.315, 237.407, 323.284, 332.162, 356.084, 356.698, 359.747]","[0.494, 0.274, 0.264, 0.248, 0.184, 0.248, 0.494, 0.274, 0.264, -0.018, -0.047, -0.126, -0.128, -0.138]","[0.234, 0.123, 0.09, 0.078, 0.078, 0.078, 0.234, 0.123, 0.09, 0.058, 0.054, 0.048, 0.037, 0.03]","['neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral']"
70,2409.16507v2,190.094,42.0,43.0,"[142.599, 164.778, 167.823, 168.588, 180.637, 194.178, 202.936, 206.855, 142.599, 194.178, 206.855]","[0.576, 0.503, 0.493, 0.49, 0.451, 0.406, 0.378, 0.365, 0.576, 0.406, 0.365]","[1.143, 0.83, 0.764, 0.449, 0.173, 0.131, 0.127, 0.061, 1.143, 0.131, 0.061]","['neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'contradiction', 'neutral', 'neutral', 'contradiction']"
71,2411.00816v2,258.887,19.0,67.0,"[161.48, 196.094, 214.363, 226.696, 228.959, 230.379, 237.098, 253.063, 255.519, 255.932, 161.48, 196.094, 214.363, 226.696, 228.959, 230.379, 237.098, 255.519, 255.932, 340.589]","[0.514, 0.4, 0.34, 0.299, 0.292, 0.287, 0.265, 0.213, 0.205, 0.203, 0.514, 0.4, 0.34, 0.299, 0.292, 0.287, 0.265, 0.205, 0.203, -0.075]","[0.596, 0.433, 0.343, 0.307, 0.297, 0.263, 0.247, 0.204, 0.175, 0.163, 0.596, 0.433, 0.343, 0.307, 0.297, 0.263, 0.247, 0.175, 0.163, 0.006]","['neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral']"
72,2406.10343v4,248.367,23.0,69.0,"[122.855, 139.575, 149.35, 152.145, 197.715, 238.605, 239.265, 246.11, 197.715, 139.575, 238.605, 149.35, 419.314]","[0.641, 0.586, 0.554, 0.544, 0.395, 0.26, 0.258, 0.236, 0.395, 0.586, 0.26, 0.554, -0.333]","[0.354, 0.335, 0.308, 0.279, 0.261, 0.216, 0.148, 0.111, 0.261, 0.335, 0.216, 0.308, 0.037]","['neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'contradiction']"
73,2409.07413v5,239.699,26.0,72.0,"[115.125, 167.525, 190.289, 209.276, 115.125, 167.525, 190.289, 289.067, 303.758, 304.236, 341.689]","[0.666, 0.494, 0.419, 0.357, 0.666, 0.494, 0.419, 0.095, 0.046, 0.045, -0.078]","[0.922, 0.511, 0.437, 0.348, 0.922, 0.511, 0.437, 0.24, 0.173, 0.048, 0.0]","['neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral']"
74,2501.00225v2,250.215,22.0,67.0,"[152.464, 217.414, 219.057, 230.683, 233.984, 254.551, 266.85, 269.364, 270.238, 266.85, 269.364, 219.057, 230.683]","[0.543, 0.33, 0.325, 0.286, 0.275, 0.208, 0.168, 0.159, 0.156, 0.168, 0.159, 0.325, 0.286]","[0.228, 0.172, 0.165, 0.107, 0.075, 0.064, 0.061, 0.06, 0.051, 0.061, 0.06, 0.165, 0.107]","['neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'contradiction', 'neutral', 'neutral', 'contradiction', 'neutral', 'neutral']"
75,2404.09796v2,179.57,45.0,48.0,"[107.539, 127.592, 152.715, 158.656, 182.139, 188.025, 107.539, 152.715, 158.656, 258.504]","[0.691, 0.625, 0.543, 0.523, 0.446, 0.427, 0.691, 0.543, 0.523, 0.195]","[0.344, 0.27, 0.193, 0.126, 0.12, 0.081, 0.344, 0.193, 0.126, 0.005]","['neutral', 'neutral', 'neutral', 'neutral', 'contradiction', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral']"
76,2401.03305v2,274.225,14.0,72.0,"[203.532, 245.767, 203.532, 245.767, 321.633, 0]","[0.376, 0.237, 0.376, 0.237, -0.013, 0]","[0.165, 0.138, 0.165, 0.138, 0.078, 0.058]","['neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral']"
77,2406.08366v2,320.85,0,80.0,"[220.676, 284.838, 299.848, 311.108, 326.852, 344.965, 346.15, 220.676, 284.838, 299.848]","[0.319, 0.108, 0.059, 0.022, -0.03, -0.089, -0.093, 0.319, 0.108, 0.059]","[0.159, 0.064, 0.058, 0.046, 0.035, 0.031, 0.027, 0.159, 0.064, 0.058]","['contradiction', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'contradiction', 'neutral', 'neutral']"
78,2409.07413v5,177.097,46.0,43.0,"[131.265, 139.223, 141.492, 147.067, 149.277, 160.006, 165.804, 169.485, 170.411, 141.492, 169.485, 170.411, 147.067, 333.071]","[0.613, 0.587, 0.579, 0.561, 0.554, 0.519, 0.5, 0.487, 0.484, 0.579, 0.487, 0.484, 0.561, -0.05]","[0.658, 0.569, 0.551, 0.524, 0.489, 0.436, 0.424, 0.317, 0.281, 0.551, 0.317, 0.281, 0.524, 0.052]","['neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral']"
79,2406.10343v4,229.885,29.0,60.0,"[157.058, 170.322, 192.503, 236.185, 238.034, 238.755, 250.498, 157.058, 170.322]","[0.528, 0.485, 0.412, 0.268, 0.262, 0.26, 0.221, 0.528, 0.485]","[0.441, 0.213, 0.17, 0.138, 0.134, 0.075, 0.071, 0.441, 0.213]","['neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral']"
80,2403.03363v6,148.635,56.0,28.0,"[82.498, 112.898, 115.173, 126.047, 128.234, 128.247, 130.679, 131.378, 146.332, 147.229, 130.679, 146.332, 126.047, 147.229, 206.505, 244.828]","[0.773, 0.673, 0.666, 0.63, 0.623, 0.623, 0.615, 0.613, 0.564, 0.561, 0.615, 0.564, 0.63, 0.561, 0.366, 0.24]","[0.32, 0.32, 0.308, 0.286, 0.284, 0.28, 0.243, 0.233, 0.23, 0.227, 0.243, 0.23, 0.286, 0.227, 0.07, 0.068]","['contradiction', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'contradiction', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral']"
81,2408.11878v2,212.783,35.0,59.0,"[143.979, 165.641, 178.617, 193.075, 205.821, 212.455, 214.256, 217.983, 235.181, 205.821, 217.983, 235.181, 272.121]","[0.571, 0.5, 0.457, 0.41, 0.368, 0.346, 0.34, 0.328, 0.272, 0.368, 0.328, 0.272, 0.15]","[0.169, 0.168, 0.101, 0.078, 0.069, 0.063, 0.051, 0.051, 0.041, 0.069, 0.051, 0.041, 0.022]","['neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'contradiction', 'entailment', 'neutral', 'neutral', 'entailment', 'neutral', 'neutral']"
82,2409.02293v3,126.841,63.0,29.0,"[73.707, 142.015, 143.693, 147.95]","[0.802, 0.578, 0.572, 0.558]","[0.376, 0.324, 0.232, 0.159]","['neutral', 'neutral', 'neutral', 'neutral']"
83,2408.14872v2,231.709,28.0,61.0,"[141.834, 204.715, 207.185, 212.68, 217.53, 227.622, 228.822, 217.53, 204.715, 207.185, 228.822]","[0.578, 0.372, 0.364, 0.346, 0.33, 0.296, 0.292, 0.33, 0.372, 0.364, 0.292]","[0.159, 0.125, 0.12, 0.092, 0.068, 0.063, 0.032, 0.068, 0.125, 0.12, 0.032]","['neutral', 'neutral', 'entailment', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'entailment', 'neutral']"
84,2406.15888v2,351.769,0,92.0,"[294.988, 332.035, 294.988, 376.915, 377.928, 387.15]","[0.075, -0.047, 0.075, -0.194, -0.197, -0.228]","[0.246, 0.064, 0.246, 0.032, 0.023, 0.013]","['neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'contradiction']"
85,2403.01012v4,495.135,0,100,"[474.047, 516.222]","[-0.513, -0.652]","[0.09, 0.0]","['neutral', 'contradiction']"
86,2405.19171v3,274.303,14.0,79.0,"[177.603, 186.838, 208.513, 234.081, 234.528, 247.261, 250.691, 274.663, 186.838, 250.691, 208.513, 234.528, 274.663, 247.261]","[0.461, 0.43, 0.359, 0.275, 0.274, 0.232, 0.221, 0.142, 0.43, 0.221, 0.359, 0.274, 0.142, 0.232]","[0.275, 0.255, 0.252, 0.229, 0.219, 0.215, 0.184, 0.171, 0.255, 0.184, 0.252, 0.219, 0.171, 0.215]","['entailment', 'entailment', 'neutral', 'neutral', 'neutral', 'contradiction', 'neutral', 'neutral', 'entailment', 'neutral', 'neutral', 'neutral', 'neutral', 'contradiction']"
87,2403.05373v2,182.213,45.0,32.0,"[157.355, 157.355, 193.328, 200.655]","[0.527, 0.527, 0.409, 0.385]","[0.278, 0.278, 0.162, 0.07]","['neutral', 'neutral', 'neutral', 'neutral']"
88,2412.14369v2,209.619,36.0,51.0,"[164.837, 167.439, 176.586, 181.551, 185.697, 190.117, 193.922, 203.82, 206.322, 208.763, 217.166, 222.096, 164.837, 176.586, 222.096, 181.551]","[0.503, 0.494, 0.464, 0.448, 0.434, 0.42, 0.407, 0.375, 0.366, 0.358, 0.331, 0.315, 0.503, 0.464, 0.315, 0.448]","[0.178, 0.172, 0.153, 0.141, 0.135, 0.133, 0.128, 0.11, 0.054, 0.04, 0.038, 0.017, 0.178, 0.153, 0.017, 0.141]","['neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral']"
89,2410.01265v2,181.517,45.0,38.0,"[150.882, 161.237, 161.237, 191.785, 225.566]","[0.549, 0.515, 0.515, 0.414, 0.303]","[0.229, 0.201, 0.201, 0.104, 0.064]","['neutral', 'neutral', 'neutral', 'neutral', 'neutral']"
90,2406.15341v3,168.987,49.0,55.0,"[126.837, 134.299, 136.306, 140.955, 156.782, 170.268, 181.067, 186.286, 126.837, 134.299, 136.306, 140.955]","[0.628, 0.603, 0.596, 0.581, 0.529, 0.485, 0.449, 0.432, 0.628, 0.603, 0.596, 0.581]","[0.269, 0.258, 0.195, 0.136, 0.127, 0.121, 0.119, 0.117, 0.269, 0.258, 0.195, 0.136]","['neutral', 'neutral', 'neutral', 'neutral', 'contradiction', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral']"
91,2404.00822v2,270.317,16.0,71.0,"[182.404, 208.805, 231.632, 232.11, 235.462, 238.593, 253.096, 267.973, 253.096, 267.973, 182.404, 232.11, 235.462, 238.593, 329.913, 332.368]","[0.445, 0.358, 0.283, 0.282, 0.271, 0.26, 0.213, 0.164, 0.213, 0.164, 0.445, 0.282, 0.271, 0.26, -0.04, -0.048]","[0.24, 0.171, 0.079, 0.071, 0.053, 0.044, 0.041, 0.029, 0.041, 0.029, 0.24, 0.071, 0.053, 0.044, 0.0, 0.0]","['contradiction', 'neutral', 'contradiction', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'contradiction', 'neutral', 'neutral', 'neutral', 'contradiction', 'neutral']"
92,2412.18449v2,338.26,0,92.0,"[271.459, 320.063, 326.48, 333.287, 320.063, 333.287, 326.48]","[0.152, -0.007, -0.028, -0.051, -0.007, -0.051, -0.028]","[0.053, 0.046, 0.032, 0.031, 0.046, 0.031, 0.032]","['neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral']"
93,2412.17712v2,242.41,25.0,64.0,"[168.112, 206.541, 223.146, 235.878, 241.193, 168.112, 223.146, 235.878, 331.095]","[0.492, 0.366, 0.311, 0.269, 0.252, 0.492, 0.311, 0.269, -0.044]","[0.205, 0.096, 0.079, 0.058, 0.045, 0.205, 0.079, 0.058, 0.0]","['neutral', 'neutral', 'contradiction', 'neutral', 'neutral', 'neutral', 'contradiction', 'neutral', 'neutral']"
94,2412.09374v3,196.244,40.0,57.0,"[143.197, 153.617, 200.623, 143.197, 274.344]","[0.574, 0.54, 0.385, 0.574, 0.143]","[0.604, 0.496, 0.168, 0.604, 0.085]","['neutral', 'neutral', 'neutral', 'neutral', 'neutral']"
95,2411.18086v2,147.529,56.0,30.0,"[83.356, 117.73, 138.622, 139.889, 150.396, 169.526, 139.889, 83.356, 181.412]","[0.77, 0.657, 0.589, 0.585, 0.55, 0.487, 0.585, 0.77, 0.448]","[0.719, 0.668, 0.573, 0.413, 0.276, 0.265, 0.413, 0.719, 0.12]","['neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral']"
96,2408.13427v2,151.899,55.0,37.0,"[113.256, 136.954, 170.716, 113.256]","[0.672, 0.594, 0.483, 0.672]","[0.321, 0.123, 0.101, 0.321]","['neutral', 'neutral', 'neutral', 'neutral']"
97,2408.11878v2,363.021,0,90.0,"[289.391, 328.659, 332.224, 342.462, 345.54, 348.523, 353.486, 356.959, 357.241, 360.262, 363.995, 345.54, 328.659, 356.959, 357.241, 332.224]","[0.093, -0.036, -0.047, -0.081, -0.091, -0.101, -0.117, -0.129, -0.13, -0.139, -0.152, -0.091, -0.036, -0.129, -0.13, -0.047]","[0.036, 0.034, 0.031, 0.029, 0.01, 0.01, 0.009, 0.009, 0.009, 0.009, 0.008, 0.01, 0.034, 0.009, 0.009, 0.031]","['neutral', 'neutral', 'neutral', 'neutral', 'contradiction', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'contradiction', 'neutral', 'neutral', 'neutral', 'neutral']"
98,2402.13385v2,246.221,24.0,58.0,"[171.612, 182.788, 201.112, 216.08, 229.965, 257.316, 229.965, 171.612, 182.788, 350.417, 0]","[0.48, 0.444, 0.384, 0.334, 0.289, 0.199, 0.289, 0.48, 0.444, -0.107, 0]","[0.21, 0.118, 0.095, 0.093, 0.082, 0.081, 0.082, 0.21, 0.118, 0.051, 0.042]","['neutral', 'neutral', 'contradiction', 'neutral', 'neutral', 'entailment', 'neutral', 'neutral', 'neutral', 'neutral', 'contradiction']"
99,2410.20982v2,230.73,29.0,61.0,"[188.374, 193.714, 207.104, 213.727, 217.358, 219.6, 227.933, 228.423, 228.965, 229.44, 232.662, 234.41, 228.423, 193.714, 228.965, 207.104, 232.662, 217.358, 219.6, 276.481]","[0.425, 0.408, 0.364, 0.342, 0.33, 0.323, 0.295, 0.294, 0.292, 0.29, 0.28, 0.274, 0.294, 0.408, 0.292, 0.364, 0.28, 0.33, 0.323, 0.136]","[0.103, 0.07, 0.063, 0.052, 0.045, 0.039, 0.037, 0.035, 0.03, 0.028, 0.012, 0.012, 0.035, 0.07, 0.03, 0.063, 0.012, 0.045, 0.039, 0.001]","['contradiction', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'contradiction', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'contradiction', 'neutral', 'neutral', 'neutral', 'neutral', 'contradiction']"
100,2410.00908v2,209.597,36.0,50.0,"[165.92, 171.13, 221.554, 222.105, 232.599, 165.92]","[0.499, 0.482, 0.316, 0.315, 0.28, 0.499]","[0.35, 0.198, 0.123, 0.1, 0.064, 0.35]","['neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral']"
101,2407.14265v2,182.91,44.0,38.0,"[76.684, 95.531, 173.168, 182.326, 191.882, 197.782, 201.387, 182.326, 201.387, 222.812, 245.513]","[0.792, 0.73, 0.475, 0.445, 0.414, 0.394, 0.383, 0.445, 0.383, 0.312, 0.238]","[0.401, 0.261, 0.09, 0.075, 0.053, 0.052, 0.049, 0.075, 0.049, 0.033, 0.024]","['neutral', 'neutral', 'neutral', 'neutral', 'contradiction', 'contradiction', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral']"
102,2411.03676v2,187.631,43.0,49.0,"[65.071, 146.305, 166.378, 196.423, 215.983, 196.423, 215.983, 248.376]","[0.831, 0.564, 0.498, 0.399, 0.335, 0.399, 0.335, 0.228]","[0.634, 0.243, 0.235, 0.181, 0.168, 0.181, 0.168, 0.099]","['neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral']"
103,2411.03299v2,233.312,28.0,55.0,"[178.561, 180.994, 195.987, 204.006, 268.59, 302.36, 302.687, 0]","[0.458, 0.45, 0.4, 0.374, 0.162, 0.051, 0.05, 0]","[0.418, 0.165, 0.155, 0.146, 0.12, 0.109, 0.092, 0.08]","['neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral']"
104,2403.11030v3,281.845,12.0,84.0,"[174.443, 199.69, 226.236, 227.341, 231.318, 235.141, 245.498, 258.651, 174.443, 258.651, 199.69, 226.236, 231.318, 235.141, 245.498, 408.745, 443.922]","[0.471, 0.388, 0.301, 0.297, 0.284, 0.272, 0.238, 0.194, 0.471, 0.194, 0.388, 0.301, 0.284, 0.272, 0.238, -0.299, -0.414]","[0.396, 0.166, 0.166, 0.161, 0.147, 0.123, 0.123, 0.109, 0.396, 0.109, 0.166, 0.166, 0.147, 0.123, 0.123, 0.017, 0.0]","['neutral', 'contradiction', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'contradiction', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral']"
105,2411.09216v2,251.452,22.0,59.0,"[185.551, 197.872, 185.551, 255.547, 257.104, 279.834, 328.985]","[0.435, 0.394, 0.435, 0.205, 0.2, 0.125, -0.037]","[0.202, 0.17, 0.202, 0.056, 0.049, 0.048, 0.0]","['contradiction', 'neutral', 'contradiction', 'neutral', 'neutral', 'neutral', 'neutral']"
106,2412.08927v2,169.825,49.0,32.0,"[131.005, 136.151, 162.928, 176.953, 131.005, 136.151, 162.928]","[0.614, 0.597, 0.509, 0.463, 0.614, 0.597, 0.509]","[0.286, 0.243, 0.189, 0.183, 0.286, 0.243, 0.189]","['neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral']"
107,2412.06031v2,250.587,22.0,73.0,"[162.62, 187.834, 219.333, 229.124, 244.643, 254.035, 267.387, 162.62, 187.834]","[0.51, 0.427, 0.324, 0.291, 0.24, 0.21, 0.166, 0.51, 0.427]","[0.155, 0.136, 0.088, 0.067, 0.036, 0.035, 0.025, 0.155, 0.136]","['neutral', 'contradiction', 'neutral', 'neutral', 'contradiction', 'neutral', 'neutral', 'neutral', 'contradiction']"
108,2401.06959v2,181.58,45.0,43.0,"[138.465, 140.698, 157.189, 168.314, 169.844, 177.028, 138.465, 140.698, 157.189, 168.314, 169.844, 205.823, 226.342]","[0.589, 0.582, 0.528, 0.491, 0.486, 0.463, 0.589, 0.582, 0.528, 0.491, 0.486, 0.368, 0.301]","[0.35, 0.27, 0.25, 0.245, 0.193, 0.189, 0.35, 0.27, 0.25, 0.245, 0.193, 0.001, 0.001]","['neutral', 'neutral', 'contradiction', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'contradiction', 'neutral', 'neutral', 'neutral', 'neutral']"
109,2404.11929v3,220.455,32.0,62.0,"[174.059, 191.473, 203.412, 229.5, 174.059, 191.473]","[0.472, 0.415, 0.376, 0.29, 0.472, 0.415]","[0.471, 0.266, 0.121, 0.065, 0.471, 0.266]","['neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral']"
110,2407.17674v2,407.43,0,98.0,"[361.427, 379.169, 388.933, 404.605, 408.07, 417.914, 361.427, 379.169, 388.933, 404.605]","[-0.143, -0.202, -0.234, -0.285, -0.297, -0.329, -0.143, -0.202, -0.234, -0.285]","[0.091, 0.076, 0.033, 0.0, 0.0, 0.0, 0.091, 0.076, 0.033, 0.0]","['neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral']"
111,2409.18681v6,227.766,30.0,57.0,"[129.709, 206.453, 215.475, 218.083, 225.082, 206.453, 225.082]","[0.618, 0.366, 0.336, 0.328, 0.305, 0.366, 0.305]","[0.754, 0.202, 0.128, 0.11, 0.091, 0.202, 0.091]","['neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral']"
112,2407.09711v4,257.766,20.0,74.0,"[150.597, 183.92, 207.799, 217.156, 227.998, 228.999, 233.655, 263.507, 233.655, 263.507, 183.92, 207.799, 217.156, 227.998, 0]","[0.549, 0.44, 0.362, 0.331, 0.295, 0.292, 0.277, 0.178, 0.277, 0.178, 0.44, 0.362, 0.331, 0.295, 0]","[0.196, 0.188, 0.14, 0.099, 0.074, 0.037, 0.028, 0.021, 0.028, 0.021, 0.188, 0.14, 0.099, 0.074, 0.002]","['neutral', 'contradiction', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'contradiction', 'neutral', 'neutral', 'neutral', 'contradiction']"
113,2405.13879v3,579.195,0,94.0,"[531.383, 569.309, 570.678, 572.573, 573.542, 578.351, 572.573, 573.542, 604.014, 606.399]","[-0.702, -0.826, -0.831, -0.837, -0.84, -0.856, -0.837, -0.84, -0.94, -0.948]","[0.04, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","['contradiction', 'neutral', 'neutral', 'neutral', 'contradiction', 'neutral', 'neutral', 'contradiction', 'neutral', 'neutral']"
114,2405.03910v2,309.804,3.0,83.0,"[205.318, 270.902, 273.171, 274.046, 299.295, 301.731, 301.811, 301.731, 270.902, 273.171, 274.046, 363.886, 404.657]","[0.37, 0.154, 0.147, 0.144, 0.061, 0.053, 0.053, 0.053, 0.154, 0.147, 0.144, -0.151, -0.285]","[0.525, 0.209, 0.106, 0.074, 0.066, 0.055, 0.053, 0.055, 0.209, 0.106, 0.074, 0.022, 0.022]","['contradiction', 'contradiction', 'neutral', 'contradiction', 'neutral', 'contradiction', 'contradiction', 'contradiction', 'contradiction', 'neutral', 'contradiction', 'neutral', 'neutral']"
